Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Porcentaje de la precipitación;PRINCIPADO DE ASTURIAS;242;62;45;83;63;111;87;60;83;128;293;160;132
Porcentaje de la precipitación;COMUNIDAD AUTÓNOMA DE BALEARES;79;11;32;66;63;3;62;86;98;112;119;100;82
Porcentaje de la precipitación;COMUNIDAD AUTÓNOMA DE CANTABRIA;264;62;54;84;66;92;145;80;122;164;251;116;134
Porcentaje de la precipitación;CIUDAD AUTÓNOMA DE CEUTA;65;15;23;129;0;0;8;0;2;44;119;47;56
Porcentaje de la precipitación;COMUNIDAD AUTÓNOMA DE LA RIOJA;144;73;36;135;62;69;165;70;138;81;208;105;108
Porcentaje de la precipitación;COMUNIDAD DE MADRID;60;9;38;171;5;9;47;234;198;63;105;142;86
Porcentaje de la precipitación;CIUDAD AUTÓNOMA DE MELILLA;24;14;121;95;0;153;0;42;140;89;103;64;69
Porcentaje de la precipitación;REGIÓN DE MURCIA;3;4;62;>300;17;11;33;160;>300;81;49;186;133
Porcentaje de la precipitación;COMUNIDAD FORAL DE NAVARRA;203;62;41;80;142;75;171;73;64;75;256;117;119
Porcentaje de la precipitación;COMUNIDAD AUTÓNOMA DE CANARIAS;32;33;81;135;14;195;200;18;63;78;42;48;55
Porcentaje de la precipitación;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;55;14;42;144;3;5;10;58;162;31;97;100;70
Porcentaje de la precipitación;COMUNIDAD AUTÓNOMA DE ARAGÓN;96;26;47;134;70;37;143;119;60;103;148;145;96
Porcentaje de la precipitación;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;56;14;49;209;16;7;85;138;186;53;127;116;89
Porcentaje de la precipitación;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;95;38;55;129;25;74;160;101;94;94;179;157;103
Porcentaje de la precipitación;COMUNIDAD AUTÓNOMA DE CATALUÑA;52;18;11;100;87;40;154;76;68;162;82;167;89
Porcentaje de la precipitación;COMUNIDAD AUTÓNOMA DE EXTREMADURA;46;13;64;130;14;4;45;125;50;40;107;126;70
Porcentaje de la precipitación;COMUNIDAD AUTÓNOMA DE GALICIA;99;46;80;145;40;111;81;96;63;108;214;144;113
Porcentaje de la precipitación;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;203;53;46;80;101;61;149;60;97;91;245;90;114
Porcentaje de la precipitación;COMUNITAT VALENCIANA;8;2;88;269;36;5;101;165;198;54;27;191;98
