Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Porcentaje de la precipitación;A CORUÑA;89;49;72;125;45;125;43;114;80;125;187;123;106
Porcentaje de la precipitación;ALBACETE;58;14;55;>300;19;13;101;174;282;51;122;98;112
Porcentaje de la precipitación;ALICANTE/ALACANT;6;2;101;>300;15;6;14;>300;>300;86;35;207;139
Porcentaje de la precipitación;ALMERIA;8;12;46;213;7;19;16;34;>300;67;58;127;89
Porcentaje de la precipitación;ARABA/ALAVA;219;68;38;90;80;53;165;62;124;80;248;87;116
Porcentaje de la precipitación;ASTURIAS;242;62;45;83;63;111;87;60;83;128;293;160;132
Porcentaje de la precipitación;AVILA;46;7;68;116;9;11;96;187;121;67;109;166;83
Porcentaje de la precipitación;BADAJOZ;52;15;69;125;16;1;18;87;28;35;108;111;66
Porcentaje de la precipitación;ILLES BALEARS;79;11;32;66;63;3;62;86;98;112;119;100;82
Porcentaje de la precipitación;BARCELONA;33;9;10;98;99;41;176;58;78;122;66;194;84
Porcentaje de la precipitación;BIZKAIA;197;44;50;76;97;61;135;47;102;103;258;91;115
Porcentaje de la precipitación;BURGOS;172;60;47;129;46;62;160;61;143;112;231;115;116
Porcentaje de la precipitación;CACERES;41;12;60;135;12;7;65;153;69;45;106;138;73
Porcentaje de la precipitación;CADIZ;48;7;32;124;0;7;25;0;39;24;87;55;50
Porcentaje de la precipitación;CANTABRIA;264;62;54;84;66;92;145;80;122;164;251;116;134
Porcentaje de la precipitación;CASTELLON/CASTELLÓ;16;1;57;125;43;6;131;130;108;50;18;204;73
Porcentaje de la precipitación;CEUTA;65;15;23;129;0;0;8;0;2;44;119;47;56
Porcentaje de la precipitación;CIUDAD REAL;58;18;46;179;19;0;56;99;190;42;134;107;84
Porcentaje de la precipitación;CORDOBA;62;9;47;124;1;0;9;70;87;31;119;136;74
Porcentaje de la precipitación;CUENCA;60;10;52;194;20;4;81;162;156;58;140;117;88
Porcentaje de la precipitación;GIPUZKOA;194;49;50;74;126;69;147;71;69;87;231;92;111
Porcentaje de la precipitación;GIRONA;25;8;10;111;79;41;128;25;96;150;65;143;78
Porcentaje de la precipitación;GRANADA;58;33;43;205;7;14;28;106;278;40;112;88;86
Porcentaje de la precipitación;GUADALAJARA;64;19;48;193;16;18;87;139;134;64;139;126;89
Porcentaje de la precipitación;HUELVA;51;14;38;111;2;0;3;4;43;30;60;110;57
Porcentaje de la precipitación;HUESCA;111;25;23;123;81;52;117;133;32;130;159;155;100
Porcentaje de la precipitación;JAEN;82;21;35;171;6;1;9;104;238;31;171;125;94
Porcentaje de la precipitación;LA RIOJA;144;73;36;135;62;69;165;70;138;81;208;105;108
Porcentaje de la precipitación;LAS PALMAS;35;24;83;95;12;150;167;50;24;23;42;59;47
Porcentaje de la precipitación;LEON;115;61;51;121;30;128;165;64;76;97;221;190;118
Porcentaje de la precipitación;LLEIDA;103;41;15;109;93;46;160;110;44;208;118;173;106
Porcentaje de la precipitación;LUGO;123;50;82;134;45;107;107;68;53;104;255;157;120
Porcentaje de la precipitación;MADRID;60;9;38;171;5;9;47;234;198;63;105;142;86
Porcentaje de la precipitación;MALAGA;42;13;43;119;0;2;0;24;230;18;78;60;58
Porcentaje de la precipitación;MELILLA;24;14;121;95;0;153;0;42;140;89;103;64;69
Porcentaje de la precipitación;MURCIA;3;4;62;>300;17;11;33;160;>300;81;49;186;133
Porcentaje de la precipitación;NAVARRA;203;62;41;80;142;75;171;73;64;75;256;117;119
Porcentaje de la precipitación;OURENSE;89;39;80;178;25;114;121;99;49;103;209;158;114
Porcentaje de la precipitación;PALENCIA;83;45;63;110;28;85;155;74;89;123;182;143;102
Porcentaje de la precipitación;PONTEVEDRA;88;41;94;163;38;92;62;117;68;94;202;143;110
Porcentaje de la precipitación;SALAMANCA;49;22;69;144;10;66;150;213;67;78;143;176;94
Porcentaje de la precipitación;SANTA CRUZ DE TENERIFE;31;38;79;152;16;208;200;14;88;103;42;41;59
Porcentaje de la precipitación;SEGOVIA;108;11;35;127;17;25;109;105;109;91;205;138;93
Porcentaje de la precipitación;SEVILLA;55;4;51;125;0;0;0;38;59;28;71;97;59
Porcentaje de la precipitación;SORIA;110;25;35;171;38;47;185;105;127;77;198;133;104
Porcentaje de la precipitación;TARRAGONA;24;7;9;63;67;18;128;98;69;150;48;153;75
Porcentaje de la precipitación;TERUEL;63;21;81;173;36;12;166;81;121;83;108;153;88
Porcentaje de la precipitación;TOLEDO;39;8;41;167;6;0;94;89;161;52;98;134;76
Porcentaje de la precipitación;VALENCIA/VALÈNCIA;4;3;99;290;40;3;96;132;202;44;28;175;96
Porcentaje de la precipitación;VALLADOLID;70;18;62;105;9;55;168;102;97;111;136;137;88
Porcentaje de la precipitación;ZAMORA;53;35;67;127;14;124;202;117;47;94;126;155;93
Porcentaje de la precipitación;ZARAGOZA;99;31;51;117;90;45;163;150;50;78;161;117;95
