Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Anomalía de la temperatura media de las máximas;PRINCIPADO DE ASTURIAS;-1.3;2.7;0.9;0.4;0.5;-1.4;0.2;0.1;-0.3;0.5;-2.2;1.2;0.1
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE BALEARES;0.1;1.7;1.1;-0.4;-0.5;1.2;2.0;0.6;0.7;1.3;-0.7;1.9;0.7
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CANTABRIA;-1.3;3.1;1.0;0.2;-0.6;0.1;0.9;0.3;-0.4;1.0;-1.7;1.8;0.4
Anomalía de la temperatura media de las máximas;CIUDAD AUTÓNOMA DE CEUTA;0.7;0.4;0.8;0.4;2.0;0.0;0.5;1.5;1.0;1.7;0.1;1.1;0.9
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE LA RIOJA;0.4;3.3;2.0;0.2;-0.2;2.5;1.4;1.5;0.1;2.2;-1.0;2.3;1.3
Anomalía de la temperatura media de las máximas;COMUNIDAD DE MADRID;1.8;3.2;2.0;-1.0;2.8;1.1;1.4;0.3;-0.2;1.5;-1.5;2.4;1.2
Anomalía de la temperatura media de las máximas;CIUDAD AUTÓNOMA DE MELILLA;0.6;0.2;0.4;0.5;1.9;-0.3;-0.1;0.6;0.2;1.1;-0.2;0.7;0.5
Anomalía de la temperatura media de las máximas;REGIÓN DE MURCIA;1.2;1.9;1.0;-1.3;1.3;0.9;0.9;1.0;-0.7;1.4;-0.3;1.7;0.7
Anomalía de la temperatura media de las máximas;COMUNIDAD FORAL DE NAVARRA;-0.3;3.5;1.4;0.3;-1.3;2.5;1.5;1.3;0.6;1.5;-1.6;1.9;0.9
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CANARIAS;-0.1;1.9;-0.3;-0.3;1.3;-0.2;-1.0;1.2;-0.1;0.9;-0.1;1.0;0.4
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;0.8;2.3;1.4;-0.8;3.3;0.2;-0.4;0.9;0.3;1.8;-1.7;2.0;0.9
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE ARAGÓN;0.2;3.7;2.1;-0.6;0.1;2.1;1.6;1.2;0.8;1.8;-1.2;2.1;1.2
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;1.4;3.4;2.0;-1.4;2.5;1.3;1.1;0.7;-0.2;2.0;-1.9;1.9;1.1
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;1.1;3.5;1.9;-0.4;2.1;0.5;1.1;0.6;0.0;1.5;-1.5;2.0;1.0
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CATALUÑA;0.1;3.5;2.4;-0.3;-0.4;1.8;1.7;1.5;1.5;1.9;-0.5;2.2;1.3
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE EXTREMADURA;1.3;2.5;1.8;-0.6;3.6;-0.7;-0.4;0.2;0.7;1.7;-1.2;1.9;0.9
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE GALICIA;0.2;2.8;1.6;0.0;2.2;-1.9;0.9;0.0;0.6;0.1;-1.7;1.0;0.4
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;-1.7;3.6;1.5;0.5;-1.4;1.7;1.2;0.9;0.1;1.5;-1.3;2.1;0.7
Anomalía de la temperatura media de las máximas;COMUNITAT VALENCIANA;1.2;2.5;1.8;-0.9;0.8;0.9;1.6;0.9;0.1;1.8;-0.2;2.2;1.1
