Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Anomalía de la temperatura media de las máximas;A CORUÑA;-0.1;2.4;1.0;-0.1;1.8;-1.9;0.7;0.0;0.4;-0.4;-1.7;0.7;0.2
Anomalía de la temperatura media de las máximas;ALBACETE;1.1;3.1;1.8;-1.6;2.1;1.2;1.1;0.9;-0.7;1.9;-1.6;1.8;1.0
Anomalía de la temperatura media de las máximas;ALICANTE/ALACANT;1.0;1.9;1.1;-1.0;0.6;0.9;1.7;0.9;-0.3;1.2;-0.3;2.0;0.8
Anomalía de la temperatura media de las máximas;ALMERIA;0.9;1.8;0.7;-0.9;1.5;0.7;0.7;1.1;-0.2;1.5;-0.7;1.9;0.7
Anomalía de la temperatura media de las máximas;ARABA/ALAVA;-0.9;3.3;1.6;0.5;-0.9;2.4;1.4;1.3;-0.1;1.8;-1.2;2.0;1.0
Anomalía de la temperatura media de las máximas;ASTURIAS;-1.3;2.7;0.9;0.4;0.5;-1.4;0.2;0.1;-0.3;0.5;-2.2;1.2;0.1
Anomalía de la temperatura media de las máximas;AVILA;0.8;3.4;1.8;-0.9;2.9;0.4;0.8;-0.1;-0.5;1.4;-2.1;2.3;0.8
Anomalía de la temperatura media de las máximas;BADAJOZ;1.3;2.7;1.7;-0.7;3.8;-0.6;-0.6;0.3;1.0;2.1;-1.1;2.1;1.0
Anomalía de la temperatura media de las máximas;ILLES BALEARS;0.1;1.7;1.1;-0.4;-0.5;1.2;2.0;0.6;0.7;1.3;-0.7;1.9;0.7
Anomalía de la temperatura media de las máximas;BARCELONA;-0.1;3.3;2.3;-0.6;-1.0;1.8;1.5;1.5;1.5;1.9;-0.5;1.9;1.2
Anomalía de la temperatura media de las máximas;BIZKAIA;-2.3;3.7;1.3;0.5;-1.6;1.0;1.1;0.6;0.2;1.2;-1.4;2.4;0.6
Anomalía de la temperatura media de las máximas;BURGOS;0.1;3.7;1.6;-0.3;0.2;1.9;0.8;0.7;-0.6;1.4;-1.7;2.0;0.8
Anomalía de la temperatura media de las máximas;CACERES;1.3;2.3;1.8;-0.6;3.4;-0.8;-0.2;0.1;0.6;1.5;-1.3;1.9;0.8
Anomalía de la temperatura media de las máximas;CADIZ;0.8;1.6;1.1;-0.2;2.8;-0.6;-1.1;0.8;0.9;1.3;-1.5;1.5;0.7
Anomalía de la temperatura media de las máximas;CANTABRIA;-1.3;3.1;1.0;0.2;-0.6;0.1;0.9;0.3;-0.4;1.0;-1.7;1.8;0.4
Anomalía de la temperatura media de las máximas;CASTELLON/CASTELLÓ;0.6;2.6;2.2;-0.4;0.7;1.2;1.9;0.7;0.5;1.7;0.0;2.3;1.1
Anomalía de la temperatura media de las máximas;CEUTA;0.7;0.4;0.8;0.4;2.0;0.0;0.5;1.5;1.0;1.7;0.1;1.1;0.9
Anomalía de la temperatura media de las máximas;CIUDAD REAL;1.5;3.5;1.6;-1.4;3.1;1.0;0.8;0.7;-0.3;2.2;-2.0;1.5;1.0
Anomalía de la temperatura media de las máximas;CORDOBA;0.9;2.9;1.7;-1.0;3.9;-0.1;-0.5;0.8;0.4;2.2;-1.9;1.8;1.0
Anomalía de la temperatura media de las máximas;CUENCA;1.7;3.8;2.4;-1.3;2.5;1.6;1.3;0.8;0.1;1.9;-2.1;2.2;1.2
Anomalía de la temperatura media de las máximas;GIPUZKOA;-2.3;4.0;1.5;0.4;-1.9;1.6;1.0;0.6;0.4;1.1;-1.5;2.0;0.6
Anomalía de la temperatura media de las máximas;GIRONA;0.6;3.6;2.5;-0.6;-0.9;2.3;1.8;2.1;1.3;2.1;-0.4;2.2;1.4
Anomalía de la temperatura media de las máximas;GRANADA;0.6;2.3;1.3;-1.3;3.1;1.4;0.7;1.4;-0.1;1.8;-2.3;2.2;0.9
Anomalía de la temperatura media de las máximas;GUADALAJARA;1.4;3.8;1.9;-1.3;1.6;1.8;1.5;0.5;-0.2;1.6;-2.3;2.3;1.0
Anomalía de la temperatura media de las máximas;HUELVA;1.0;2.1;1.6;-0.6;3.7;-1.3;-1.7;0.7;0.6;1.1;-1.3;2.0;0.6
Anomalía de la temperatura media de las máximas;HUESCA;0.0;3.8;2.3;-0.3;0.2;2.1;1.9;1.2;1.5;1.7;-1.7;1.9;1.2
Anomalía de la temperatura media de las máximas;JAEN;0.6;3.1;2.0;-1.3;3.4;1.1;0.4;1.0;-0.4;1.9;-2.6;2.2;1.0
Anomalía de la temperatura media de las máximas;LA RIOJA;0.4;3.3;2.0;0.2;-0.2;2.5;1.4;1.5;0.1;2.2;-1.0;2.3;1.3
Anomalía de la temperatura media de las máximas;LAS PALMAS;-0.2;1.8;-0.2;-0.1;1.1;-0.1;-0.7;1.1;0.0;0.6;-0.2;0.6;0.3
Anomalía de la temperatura media de las máximas;LEON;1.8;3.2;2.4;0.1;2.7;-0.8;1.4;0.6;0.7;1.4;-1.8;1.9;1.1
Anomalía de la temperatura media de las máximas;LLEIDA;-0.1;3.9;2.4;-0.2;-0.2;2.0;1.6;1.4;1.5;1.8;-0.8;2.6;1.4
Anomalía de la temperatura media de las máximas;LUGO;-0.2;3.2;1.4;0.1;1.8;-1.6;0.7;0.2;0.1;0.6;-1.6;1.2;0.5
Anomalía de la temperatura media de las máximas;MADRID;1.8;3.2;2.0;-1.0;2.8;1.1;1.4;0.3;-0.2;1.5;-1.5;2.4;1.2
Anomalía de la temperatura media de las máximas;MALAGA;1.2;1.2;1.2;-0.1;3.3;0.2;0.1;0.7;0.3;2.3;-1.1;1.8;0.9
Anomalía de la temperatura media de las máximas;MELILLA;0.6;0.2;0.4;0.5;1.9;-0.3;-0.1;0.6;0.2;1.1;-0.2;0.7;0.5
Anomalía de la temperatura media de las máximas;MURCIA;1.2;1.9;1.0;-1.3;1.3;0.9;0.9;1.0;-0.7;1.4;-0.3;1.7;0.7
Anomalía de la temperatura media de las máximas;NAVARRA;-0.3;3.5;1.4;0.3;-1.3;2.5;1.5;1.3;0.6;1.5;-1.6;1.9;0.9
Anomalía de la temperatura media de las máximas;OURENSE;0.8;3.0;2.5;-0.1;3.1;-2.2;1.3;0.1;0.9;0.4;-2.0;1.0;0.8
Anomalía de la temperatura media de las máximas;PALENCIA;1.7;3.7;1.8;0.0;1.8;1.1;1.0;0.7;-0.4;1.3;-1.5;1.7;1.1
Anomalía de la temperatura media de las máximas;PONTEVEDRA;0.6;2.5;1.5;-0.2;2.7;-2.6;1.0;-0.3;1.1;-0.4;-1.8;1.1;0.4
Anomalía de la temperatura media de las máximas;SALAMANCA;0.5;3.2;1.7;-0.6;2.7;-1.0;0.4;-0.2;-0.1;1.0;-1.6;1.5;0.6
Anomalía de la temperatura media de las máximas;SANTA CRUZ DE TENERIFE;0.0;2.1;-0.5;-0.5;1.7;-0.4;-1.4;1.4;-0.2;1.2;0.2;1.5;0.4
Anomalía de la temperatura media de las máximas;SEGOVIA;0.3;3.6;1.9;-1.1;1.9;0.7;0.9;0.3;-0.5;1.3;-1.9;2.5;0.8
Anomalía de la temperatura media de las máximas;SEVILLA;1.0;2.4;1.4;-0.6;3.8;-0.5;-1.5;0.8;0.9;1.9;-1.3;2.0;0.9
Anomalía de la temperatura media de las máximas;SORIA;1.6;4.4;2.3;-0.7;1.0;2.0;1.4;1.2;0.1;2.3;-1.9;3.0;1.4
Anomalía de la temperatura media de las máximas;TARRAGONA;0.1;2.7;2.4;-0.1;0.2;1.1;1.8;1.0;1.3;1.5;-0.1;2.0;1.2
Anomalía de la temperatura media de las máximas;TERUEL;0.1;3.3;1.7;-1.3;0.1;1.8;1.1;0.8;0.0;1.8;-1.5;2.3;0.9
Anomalía de la temperatura media de las máximas;TOLEDO;1.6;3.1;1.8;-1.1;3.0;0.8;1.2;0.5;0.1;2.0;-1.4;1.8;1.2
