Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media;PRINCIPADO DE ASTURIAS;5.4;8.7;9.4;10.1;12.5;15.0;18.5;18.5;16.4;13.8;8.4;8.1;12.1
Temperatura media;COMUNIDAD AUTÓNOMA DE BALEARES;9.6;10.7;12.6;14.1;17.0;22.5;26.6;25.9;23.1;19.5;13.5;13.0;17.3
Temperatura media;COMUNIDAD AUTÓNOMA DE CANTABRIA;5.2;8.1;8.8;9.9;11.6;15.8;18.9;18.4;16.3;14.0;8.5;8.0;12.0
Temperatura media;CIUDAD AUTÓNOMA DE CEUTA;14.1;14.2;16.0;16.4;20.1;21.4;24.3;25.2;22.8;20.7;16.5;15.6;18.9
Temperatura media;COMUNIDAD AUTÓNOMA DE LA RIOJA;4.3;6.4;8.4;9.5;12.3;18.6;21.5;20.9;16.8;13.9;7.3;6.5;12.2
Temperatura media;COMUNIDAD DE MADRID;5.1;7.7;10.4;10.7;16.7;21.4;25.9;24.3;19.8;14.9;8.3;7.8;14.4
Temperatura media;CIUDAD AUTÓNOMA DE MELILLA;13.8;14.0;15.7;17.0;21.0;22.4;25.8;27.1;24.4;21.3;17.3;15.7;19.6
Temperatura media;REGIÓN DE MURCIA;9.0;10.5;12.4;13.6;18.4;22.4;26.4;26.2;22.1;18.3;12.6;11.3;16.9
Temperatura media;COMUNIDAD FORAL DE NAVARRA;4.7;7.5;9.1;10.6;12.9;19.5;22.3;21.7;18.0;14.6;7.6;7.1;13.0
Temperatura media;COMUNIDAD AUTÓNOMA DE CANARIAS;14.4;16.1;15.6;16.0;18.6;19.4;21.2;23.6;21.7;20.9;18.0;16.6;18.5
Temperatura media;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;8.7;10.8;13.2;13.5;20.0;22.2;25.7;26.5;22.7;18.3;11.7;11.4;17.1
Temperatura media;COMUNIDAD AUTÓNOMA DE ARAGÓN;3.9;7.2;9.3;10.2;13.7;20.4;23.9;23.0;18.5;14.7;7.5;6.9;13.3
Temperatura media;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;5.2;8.0;10.4;10.8;17.0;21.6;26.0;24.8;20.2;15.7;8.5;7.9;14.7
Temperatura media;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;3.2;6.3;8.1;8.8;13.1;17.4;21.5;20.7;16.7;13.0;6.7;6.0;11.8
Temperatura media;COMUNIDAD AUTÓNOMA DE CATALUÑA;4.6;8.0;10.2;11.1;14.1;20.2;23.9;23.4;19.5;15.6;8.2;8.0;13.9
Temperatura media;COMUNIDAD AUTÓNOMA DE EXTREMADURA;7.9;10.3;13.1;13.4;20.1;21.8;25.8;26.0;22.9;17.9;11.5;10.6;16.8
Temperatura media;COMUNIDAD AUTÓNOMA DE GALICIA;6.3;8.9;10.0;10.4;14.1;14.9;19.4;19.1;17.5;13.6;9.0;8.3;12.6
Temperatura media;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;5.2;8.9;9.6;10.6;12.2;17.6;20.3;20.1;17.5;15.1;8.8;8.4;12.9
Temperatura media;COMUNITAT VALENCIANA;8.2;9.8;12.0;12.8;16.8;21.0;25.3;24.9;21.4;17.6;12.0;11.0;16.1
