Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media;A CORUÑA;7.9;10.1;10.8;11.3;14.6;15.0;19.1;19.0;18.0;14.4;10.5;9.8;13.4
Temperatura media;ALBACETE;5.5;8.2;10.4;11.1;17.2;21.8;26.2;25.2;20.3;16.0;9.1;8.3;14.9
Temperatura media;ALICANTE/ALACANT;9.3;10.7;12.7;13.8;17.8;22.1;26.3;25.7;22.3;18.6;13.3;12.3;17.1
Temperatura media;ALMERIA;9.3;10.5;12.3;13.1;18.3;22.0;25.6;25.8;21.6;17.9;12.4;11.5;16.7
Temperatura media;ARABA/ALAVA;4.1;7.2;8.5;9.6;11.6;17.7;20.3;20.1;16.7;14.1;7.6;6.7;12.0
Temperatura media;ASTURIAS;5.4;8.7;9.4;10.1;12.5;15.0;18.5;18.5;16.4;13.8;8.4;8.1;12.1
Temperatura media;AVILA;3.3;6.3;8.0;8.4;13.8;17.9;22.6;21.3;17.0;13.2;6.5;6.6;12.1
Temperatura media;BADAJOZ;8.1;10.6;13.2;13.7;20.5;22.0;25.8;26.2;23.3;18.3;11.9;11.1;17.1
Temperatura media;ILLES BALEARS;9.6;10.7;12.6;14.1;17.0;22.5;26.6;25.9;23.1;19.5;13.5;13.0;17.3
Temperatura media;BARCELONA;5.0;8.5;10.7;11.5;14.3;20.6;24.2;23.9;20.2;16.3;8.8;8.6;14.4
Temperatura media;BIZKAIA;6.3;10.3;10.6;11.5;12.8;17.5;20.3;20.3;18.1;16.0;10.0;10.0;13.6
Temperatura media;BURGOS;3.0;6.1;7.7;8.6;11.7;17.6;20.5;20.1;16.0;13.0;6.6;5.9;11.4
Temperatura media;CACERES;7.6;10.0;12.9;13.0;19.6;21.5;25.9;25.8;22.5;17.4;11.0;10.1;16.4
Temperatura media;CADIZ;10.8;12.7;15.0;15.1;20.4;21.5;24.6;26.1;23.5;19.5;13.9;13.4;18.0
Temperatura media;CANTABRIA;5.2;8.1;8.8;9.9;11.6;15.8;18.9;18.4;16.3;14.0;8.5;8.0;12.0
Temperatura media;CASTELLON/CASTELLÓ;7.5;9.2;11.3;11.8;15.5;20.0;24.2;23.6;20.3;16.8;11.0;10.4;15.1
Temperatura media;CEUTA;14.1;14.2;16.0;16.4;20.1;21.4;24.3;25.2;22.8;20.7;16.5;15.6;18.9
Temperatura media;CIUDAD REAL;5.9;8.8;11.5;11.8;18.8;22.8;27.2;26.2;21.5;17.0;9.3;8.6;15.8
Temperatura media;CORDOBA;7.9;10.6;13.2;13.6;20.8;22.9;26.7;27.2;23.3;18.6;11.3;10.9;17.2
Temperatura media;CUENCA;4.6;7.3;9.5;9.9;15.7;20.6;24.9;23.7;19.4;14.6;7.5;7.2;13.7
Temperatura media;GIPUZKOA;5.5;10.1;10.1;11.1;12.3;17.7;20.2;20.0;17.9;15.8;9.4;9.2;13.3
Temperatura media;GIRONA;5.6;8.6;10.5;11.1;13.8;20.1;23.8;23.4;19.4;16.1;8.8;8.9;14.2
Temperatura media;GRANADA;6.3;8.3;10.5;10.7;17.5;21.2;24.9;25.0;20.1;15.8;8.5;9.0;14.8
Temperatura media;GUADALAJARA;3.6;6.4;8.3;8.7;13.8;19.5;23.7;22.3;17.6;13.3;6.3;6.3;12.5
Temperatura media;HUELVA;10.6;12.4;14.6;14.9;21.1;21.5;24.7;26.5;23.8;19.1;13.5;13.0;18.0
Temperatura media;HUESCA;3.0;6.8;8.9;9.9;13.3;19.9;23.5;22.5;18.2;14.0;6.3;6.1;12.7
Temperatura media;JAEN;6.9;9.8;12.5;12.5;19.8;23.2;27.0;27.0;22.0;17.5;9.7;9.7;16.5
Temperatura media;LA RIOJA;4.3;6.4;8.4;9.5;12.3;18.6;21.5;20.9;16.8;13.9;7.3;6.5;12.2
Temperatura media;LAS PALMAS;15.6;17.3;17.1;17.7;19.9;20.7;22.4;24.4;22.9;22.0;19.3;17.6;19.7
Temperatura media;LEON;2.9;5.4;7.4;7.9;12.2;15.1;19.7;18.7;15.4;11.8;5.7;5.1;10.6
Temperatura media;LLEIDA;2.5;6.5;8.6;9.6;12.9;19.4;22.9;22.1;17.9;13.6;6.0;6.0;12.3
Temperatura media;LUGO;5.6;8.4;9.4;10.0;13.3;14.8;19.0;18.9;16.9;13.4;8.4;7.7;12.2
Temperatura media;MADRID;5.1;7.7;10.4;10.7;16.7;21.4;25.9;24.3;19.8;14.9;8.3;7.8;14.4
Temperatura media;MALAGA;9.9;11.1;13.5;13.9;19.6;21.7;25.3;26.0;22.4;18.9;12.5;12.2;17.2
Temperatura media;MELILLA;13.8;14.0;15.7;17.0;21.0;22.4;25.8;27.1;24.4;21.3;17.3;15.7;19.6
Temperatura media;MURCIA;9.0;10.5;12.4;13.6;18.4;22.4;26.4;26.2;22.1;18.3;12.6;11.3;16.9
Temperatura media;NAVARRA;4.7;7.5;9.1;10.6;12.9;19.5;22.3;21.7;18.0;14.6;7.6;7.1;13.0
Temperatura media;OURENSE;4.7;7.6;9.3;9.4;13.7;14.8;20.0;19.2;17.1;12.7;7.5;6.7;11.9
Temperatura media;PALENCIA;3.1;5.9;7.6;8.6;12.5;17.3;20.9;20.0;16.2;12.6;6.3;5.4;11.4
Temperatura media;PONTEVEDRA;7.6;9.9;11.3;11.5;15.5;15.3;20.1;19.5;18.7;14.2;10.1;9.4;13.6
Temperatura media;SALAMANCA;4.0;7.2;8.9;9.7;14.8;17.5;22.3;21.7;18.0;13.8;7.9;6.7;12.7
Temperatura media;SANTA CRUZ DE TENERIFE;12.9;14.7;13.8;14.0;17.1;17.9;19.8;22.7;20.2;19.5;16.5;15.3;17.0
Temperatura media;SEGOVIA;3.1;6.8;8.7;8.9;13.6;19.0;23.0;22.0;17.2;13.6;6.6;6.6;12.4
Temperatura media;SEVILLA;9.7;12.3;14.8;15.1;21.7;22.7;26.0;27.5;24.5;19.7;13.3;12.7;18.3
Temperatura media;SORIA;3.0;5.9;7.5;8.0;11.7;17.8;21.5;20.6;15.9;12.6;5.8;5.8;11.3
Temperatura media;TARRAGONA;7.2;9.8;12.5;13.4;16.5;21.6;25.7;25.1;21.7;17.9;11.2;10.2;16.1
Temperatura media;TERUEL;3.3;6.5;8.2;8.7;12.6;19.2;22.8;22.0;17.3;13.8;6.8;6.6;12.3
Temperatura media;TOLEDO;5.8;8.7;11.5;12.1;18.7;22.8;27.3;26.0;21.6;16.7;9.6;8.7;15.8
Temperatura media;VALENCIA/VALÈNCIA;8.1;9.7;12.0;12.8;17.0;21.0;25.4;25.2;21.5;17.6;11.9;10.7;16.1
