Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Anomalía de la temperatura media;PRINCIPADO DE ASTURIAS;-0.8;1.9;0.6;0.4;0.1;-0.7;0.7;0.4;0.2;1.0;-0.7;1.3;0.4
Anomalía de la temperatura media;COMUNIDAD AUTÓNOMA DE BALEARES;-0.4;0.4;0.4;-0.2;-0.9;0.5;1.5;0.5;0.7;0.8;-0.6;1.8;0.3
Anomalía de la temperatura media;COMUNIDAD AUTÓNOMA DE CANTABRIA;-1.0;1.4;0.2;0.1;-1.1;-0.1;1.1;0.3;0.1;0.9;-0.6;1.1;0.2
Anomalía de la temperatura media;CIUDAD AUTÓNOMA DE CEUTA;0.8;0.5;0.9;0.2;1.7;-0.3;0.6;1.2;0.4;1.2;0.1;1.2;0.7
Anomalía de la temperatura media;COMUNIDAD AUTÓNOMA DE LA RIOJA;0.4;1.5;0.7;0.3;-0.7;1.3;1.5;1.0;0.2;1.7;-0.1;1.9;0.8
Anomalía de la temperatura media;COMUNIDAD DE MADRID;0.4;1.6;1.1;-0.3;1.7;0.9;2.0;0.9;0.5;1.2;-0.2;2.3;1.0
Anomalía de la temperatura media;CIUDAD AUTÓNOMA DE MELILLA;0.4;0.1;0.4;0.3;1.7;-0.2;0.3;1.0;0.4;0.8;0.2;1.1;0.5
Anomalía de la temperatura media;REGIÓN DE MURCIA;0.4;0.8;0.2;-0.5;0.8;0.3;1.1;0.9;0.3;1.0;0.2;1.8;0.6
Anomalía de la temperatura media;COMUNIDAD FORAL DE NAVARRA;0.0;1.8;0.5;0.3;-1.3;1.3;1.5;0.9;0.5;1.3;-0.7;1.7;0.7
Anomalía de la temperatura media;COMUNIDAD AUTÓNOMA DE CANARIAS;-0.2;1.2;-0.4;-0.3;1.1;-0.3;-0.9;0.8;-0.2;0.8;0.2;0.8;0.2
Anomalía de la temperatura media;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;0.3;1.1;0.8;-0.4;2.5;-0.2;-0.1;0.9;0.7;1.1;-0.6;2.0;0.7
Anomalía de la temperatura media;COMUNIDAD AUTÓNOMA DE ARAGÓN;-0.2;1.8;0.8;-0.2;-0.7;1.3;1.6;1.1;0.6;1.5;-0.4;2.2;0.8
Anomalía de la temperatura media;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;0.3;1.6;0.9;-0.6;1.5;0.6;1.4;0.7;0.4;1.4;-0.4;2.2;0.9
Anomalía de la temperatura media;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;-0.1;1.7;0.7;-0.1;0.5;0.1;1.3;0.7;0.2;1.3;-0.1;1.8;0.7
Anomalía de la temperatura media;COMUNIDAD AUTÓNOMA DE CATALUÑA;-0.4;1.8;1.1;0.0;-0.9;0.8;1.3;1.2;1.0;1.5;-0.6;2.4;0.8
Anomalía de la temperatura media;COMUNIDAD AUTÓNOMA DE EXTREMADURA;0.3;1.1;0.8;-0.4;2.5;-1.1;-0.3;0.1;0.6;1.0;-0.2;2.0;0.6
Anomalía de la temperatura media;COMUNIDAD AUTÓNOMA DE GALICIA;-0.2;1.7;0.7;0.1;1.2;-1.5;0.9;0.4;0.8;0.6;-0.3;1.2;0.4
Anomalía de la temperatura media;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;-1.0;2.1;0.6;0.3;-1.6;0.7;1.1;0.6;0.3;1.3;-0.6;1.5;0.5
Anomalía de la temperatura media;COMUNITAT VALENCIANA;0.2;0.9;0.8;-0.2;0.4;0.1;1.3;0.8;0.7;1.2;0.3;2.2;0.8
