Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las mínimas;PRINCIPADO DE ASTURIAS;1.7;3.1;3.9;5.2;7.1;10.5;13.8;13.5;11.5;9.4;5.6;4.1;7.4
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE BALEARES;4.8;4.9;7.0;9.3;11.4;16.4;20.5;20.5;18.3;14.6;9.5;8.7;12.2
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE CANTABRIA;1.4;1.7;2.9;4.7;6.1;10.2;13.6;12.9;11.0;9.0;5.1;3.3;6.8
Temperatura media de las mínimas;CIUDAD AUTÓNOMA DE CEUTA;11.3;11.6;13.4;13.1;16.5;17.8;20.6;21.5;19.1;17.3;13.9;13.1;15.8
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE LA RIOJA;0.3;0.1;1.6;4.2;5.9;10.7;14.2;13.3;10.5;8.1;3.9;2.2;6.2
Temperatura media de las mínimas;COMUNIDAD DE MADRID;-1.0;0.7;3.3;5.3;9.1;13.7;18.4;16.8;13.3;8.9;4.9;3.4;8.1
Temperatura media de las mínimas;CIUDAD AUTÓNOMA DE MELILLA;10.2;10.5;12.5;13.3;17.3;19.1;22.5;24.0;21.4;17.6;14.5;12.9;16.3
Temperatura media de las mínimas;REGIÓN DE MURCIA;2.9;3.8;5.7;8.2;11.7;15.0;19.4;19.2;16.9;12.3;8.0;6.5;10.8
Temperatura media de las mínimas;COMUNIDAD FORAL DE NAVARRA;1.0;1.1;2.9;5.4;7.2;12.1;15.6;14.6;11.8;9.4;4.4;3.1;7.4
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE CANARIAS;10.9;12.0;11.8;12.3;14.7;15.7;17.5;19.4;17.9;17.2;14.9;13.1;14.8
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;3.1;4.4;6.6;7.9;12.7;14.6;18.2;18.8;16.2;11.9;7.7;6.7;10.7
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE ARAGÓN;-1.1;0.1;2.0;4.6;6.6;12.3;16.1;15.4;11.7;8.8;3.6;2.6;6.9
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;-1.0;0.5;2.8;5.3;9.3;13.2;17.8;16.5;13.6;9.2;4.9;3.6;8.0
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;-2.2;-0.9;0.7;2.9;5.1;9.5;13.4;12.6;9.5;7.2;3.5;1.6;5.2
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE CATALUÑA;-0.6;1.0;2.9;5.4;7.5;12.7;16.8;16.5;13.0;9.8;3.4;3.6;7.7
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE EXTREMADURA;2.2;4.0;6.2;7.5;12.4;13.8;17.7;17.8;15.9;11.6;7.8;6.6;10.3
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE GALICIA;1.9;3.1;3.9;5.2;7.6;9.5;13.3;12.9;11.7;9.3;6.2;4.5;7.4
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;2.1;3.2;3.7;5.4;6.6;11.1;14.4;14.0;11.9;10.2;5.8;4.2;7.7
Temperatura media de las mínimas;COMUNITAT VALENCIANA;2.4;3.1;5.2;7.7;10.4;14.0;18.5;18.4;16.2;11.8;7.6;6.4;10.1
