Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;PRINCIPADO DE ASTURIAS;71.2;30.1;129.0;91.4;68.1;75.6;16.8;110.0;73.7;197.5;34.7;339.2;1237.3
Precipitación;COMUNIDAD AUTÓNOMA DE BALEARES;125.4;0.3;40.7;107.8;21.8;34.0;2.9;22.4;64.7;46.7;29.6;39.9;536.2
Precipitación;COMUNIDAD AUTÓNOMA DE CANTABRIA;46.4;27.5;123.6;115.7;51.9;85.3;31.0;89.5;84.3;233.1;34.9;316.1;1239.3
Precipitación;CIUDAD AUTÓNOMA DE CEUTA;70.7;0.8;143.4;69.4;68.1;67.4;0.0;0.2;3.0;33.7;57.9;129.2;643.8
Precipitación;COMUNIDAD AUTÓNOMA DE LA RIOJA;42.9;3.6;129.6;100.6;52.2;73.5;28.2;34.0;32.3;50.2;33.9;55.6;636.6
Precipitación;COMUNIDAD DE MADRID;32.5;1.1;72.6;77.4;50.6;14.1;6.7;24.4;57.6;77.9;71.5;53.3;539.7
Precipitación;CIUDAD AUTÓNOMA DE MELILLA;14.9;0.0;18.4;58.1;28.6;1.6;1.4;0.4;3.6;3.0;10.3;54.7;195.0
Precipitación;REGIÓN DE MURCIA;73.4;2.0;119.4;51.9;25.0;14.4;8.1;6.3;10.6;6.7;40.5;6.3;364.6
Precipitación;COMUNIDAD FORAL DE NAVARRA;48.2;19.8;145.3;92.3;67.8;79.2;13.8;44.1;62.0;113.7;31.8;192.2;910.2
Precipitación;COMUNIDAD AUTÓNOMA DE CANARIAS;4.5;0.7;30.2;15.1;3.6;9.7;0.1;0.6;1.9;19.7;48.2;44.7;179.0
Precipitación;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;62.5;1.7;75.1;73.3;47.4;4.3;2.6;4.0;14.9;44.8;90.1;46.2;466.9
Precipitación;COMUNIDAD AUTÓNOMA DE ARAGÓN;87.1;1.0;100.7;81.3;84.7;62.2;14.9;16.3;28.0;37.4;58.6;49.4;621.6
Precipitación;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;36.3;1.6;92.1;67.1;50.7;15.2;13.4;19.0;26.7;36.4;67.9;44.6;471.0
Precipitación;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;38.0;7.2;62.2;108.7;43.7;37.4;17.1;28.9;49.9;104.8;47.9;77.0;622.8
Precipitación;COMUNIDAD AUTÓNOMA DE CATALUÑA;152.5;1.8;70.8;125.6;75.5;101.2;32.0;43.6;45.7;45.4;82.7;22.8;799.6
Precipitación;COMUNIDAD AUTÓNOMA DE EXTREMADURA;49.8;2.8;76.0;100.5;46.2;1.6;5.5;3.7;33.4;98.5;107.6;54.9;580.5
Precipitación;COMUNIDAD AUTÓNOMA DE GALICIA;156.5;65.7;137.0;130.3;46.3;46.7;5.2;86.1;61.0;168.6;101.4;307.0;1311.8
Precipitación;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;47.2;33.5;150.2;78.8;77.7;83.3;23.5;59.3;97.4;184.4;43.0;298.5;1176.8
Precipitación;COMUNITAT VALENCIANA;161.3;1.9;144.9;75.6;42.3;29.6;11.5;13.2;17.9;9.1;130.6;10.7;648.6
