Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las máximas;PRINCIPADO DE ASTURIAS;11.8;15.4;13.6;15.5;20.4;19.8;23.4;23.4;21.5;16.2;15.4;10.2;17.2
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE BALEARES;15.7;18.2;17.6;20.3;25.4;27.4;31.5;31.7;27.5;22.7;20.2;16.0;22.8
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CANTABRIA;11.6;15.2;13.5;16.5;20.9;20.0;23.8;24.2;22.2;16.2;16.1;10.3;17.5
Temperatura media de las máximas;CIUDAD AUTÓNOMA DE CEUTA;16.7;18.3;18.8;19.3;23.2;26.0;28.7;29.7;26.5;22.1;19.5;17.1;22.2
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE LA RIOJA;8.8;14.5;13.1;15.5;22.4;22.9;28.4;27.6;23.6;16.2;13.4;8.4;17.9
Temperatura media de las máximas;COMUNIDAD DE MADRID;10.4;15.2;14.9;17.1;24.7;27.8;34.8;31.5;26.2;18.2;14.8;9.5;20.4
Temperatura media de las máximas;CIUDAD AUTÓNOMA DE MELILLA;17.8;19.1;19.5;21.3;24.4;27.0;29.4;31.1;27.7;23.3;21.6;18.3;23.4
Temperatura media de las máximas;REGIÓN DE MURCIA;14.2;19.2;17.6;19.1;25.9;29.5;33.3;33.9;28.3;23.4;19.4;15.4;23.3
Temperatura media de las máximas;COMUNIDAD FORAL DE NAVARRA;9.3;14.8;13.6;17.3;23.0;23.4;28.7;28.5;24.2;16.4;14.3;8.3;18.5
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CANARIAS;18.5;21.6;19.8;20.6;23.2;24.1;27.9;28.0;27.1;23.8;22.3;18.6;23.0
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;14.0;19.2;18.4;19.2;26.6;29.6;35.8;34.4;29.2;23.0;19.3;13.9;23.6
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE ARAGÓN;9.3;15.7;13.8;16.9;23.4;25.2;31.2;30.5;24.9;17.9;14.5;9.0;19.4
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;10.9;16.5;15.3;17.7;25.2;28.6;35.3;33.2;27.1;19.8;16.2;10.3;21.3
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;8.4;14.1;13.8;15.6;22.7;24.0;31.1;28.2;24.2;16.2;13.8;8.0;18.3
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CATALUÑA;10.9;16.0;14.7;17.6;23.8;24.6;30.3;30.2;25.1;18.7;15.7;10.1;19.8
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE EXTREMADURA;12.7;17.8;17.8;19.1;26.8;29.6;37.5;34.0;29.6;22.0;17.7;12.4;23.1
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE GALICIA;11.5;15.1;15.0;16.3;22.7;21.3;27.8;24.9;23.9;16.3;15.5;10.2;18.4
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;11.4;15.6;14.0;17.8;22.1;21.8;25.6;26.7;24.0;16.7;16.0;10.1;18.5
Temperatura media de las máximas;COMUNITAT VALENCIANA;13.8;19.0;16.2;18.4;24.8;27.5;31.4;32.0;27.1;22.3;18.3;14.2;22.1
