Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las máximas;A CORUÑA;12.5;15.1;15.0;16.8;22.5;20.6;25.7;23.7;23.5;16.8;16.2;11.7;18.3
Temperatura media de las máximas;ALBACETE;11.3;17.1;14.9;17.6;24.7;29.3;34.8;34.0;27.1;20.5;16.6;10.9;21.6
Temperatura media de las máximas;ALICANTE/ALACANT;14.8;19.4;17.7;19.3;25.5;28.2;31.7;32.6;27.7;23.4;19.7;15.7;23.0
Temperatura media de las máximas;ALMERIA;14.2;18.2;16.9;18.1;25.3;28.6;33.1;33.1;27.6;22.5;19.3;15.2;22.7
Temperatura media de las máximas;ARABA/ALAVA;9.6;14.6;13.4;16.8;22.2;22.4;26.7;27.2;23.8;16.0;14.5;8.7;18.0
Temperatura media de las máximas;ASTURIAS;11.8;15.4;13.6;15.5;20.4;19.8;23.4;23.4;21.5;16.2;15.4;10.2;17.2
Temperatura media de las máximas;AVILA;8.9;14.2;12.9;14.7;22.1;24.8;32.2;29.0;24.1;16.4;13.5;7.9;18.4
Temperatura media de las máximas;BADAJOZ;13.4;18.5;18.3;19.4;27.5;29.9;37.9;34.5;30.2;22.8;18.5;12.8;23.6
Temperatura media de las máximas;ILLES BALEARS;15.7;18.2;17.6;20.3;25.4;27.4;31.5;31.7;27.5;22.7;20.2;16.0;22.8
Temperatura media de las máximas;BARCELONA;11.8;16.1;15.0;17.8;23.8;24.4;30.1;30.0;25.2;19.2;16.4;10.9;20.1
Temperatura media de las máximas;BIZKAIA;13.1;16.5;14.8;18.8;22.3;21.6;24.8;26.3;24.6;17.8;17.7;11.6;19.2
Temperatura media de las máximas;BURGOS;8.3;13.7;13.1;15.8;21.8;23.0;28.7;27.4;23.4;15.5;13.8;7.8;17.7
Temperatura media de las máximas;CACERES;11.9;17.1;17.2;18.7;26.0;29.3;37.0;33.5;29.0;21.2;16.9;11.9;22.5
Temperatura media de las máximas;CADIZ;16.1;20.0;19.3;19.9;26.0;27.8;33.7;32.9;29.4;23.8;20.9;16.1;23.8
Temperatura media de las máximas;CANTABRIA;11.6;15.2;13.5;16.5;20.9;20.0;23.8;24.2;22.2;16.2;16.1;10.3;17.5
Temperatura media de las máximas;CASTELLON/CASTELLÓ;13.2;18.1;15.0;17.4;23.4;25.2;29.9;30.1;25.6;20.9;17.0;13.1;20.7
Temperatura media de las máximas;CEUTA;16.7;18.3;18.8;19.3;23.2;26.0;28.7;29.7;26.5;22.1;19.5;17.1;22.2
Temperatura media de las máximas;CIUDAD REAL;11.5;17.3;16.9;18.8;26.5;29.9;37.2;34.5;28.7;21.3;17.3;11.2;22.6
Temperatura media de las máximas;CORDOBA;13.6;19.4;19.0;19.8;27.8;31.0;38.1;35.6;30.3;23.3;19.1;13.1;24.2
Temperatura media de las máximas;CUENCA;10.6;16.2;14.1;16.8;24.1;27.7;33.6;32.3;26.0;18.8;15.7;9.6;20.5
Temperatura media de las máximas;GIPUZKOA;12.1;16.0;14.1;18.2;21.9;21.2;24.7;26.2;23.7;16.7;16.5;10.6;18.5
Temperatura media de las máximas;GIRONA;12.7;16.3;14.6;17.5;23.7;23.6;29.2;29.7;24.8;18.8;16.4;11.7;19.9
Temperatura media de las máximas;GRANADA;12.0;17.4;15.8;16.9;24.3;28.0;34.0;33.3;26.5;20.4;17.5;11.6;21.5
Temperatura media de las máximas;GUADALAJARA;9.5;14.8;13.4;15.9;23.2;25.5;32.7;30.7;24.6;16.6;14.4;8.2;19.1
Temperatura media de las máximas;HUELVA;15.1;20.2;19.6;20.1;27.5;29.5;36.2;34.2;30.3;24.3;20.0;15.2;24.4
Temperatura media de las máximas;HUESCA;8.7;15.0;13.6;16.7;23.2;24.2;30.6;29.8;24.5;17.0;14.2;7.9;18.8
Temperatura media de las máximas;JAEN;12.8;18.7;17.6;19.2;27.0;30.3;37.4;35.4;29.2;22.2;18.5;12.1;23.4
Temperatura media de las máximas;LA RIOJA;8.8;14.5;13.1;15.5;22.4;22.9;28.4;27.6;23.6;16.2;13.4;8.4;17.9
Temperatura media de las máximas;LAS PALMAS;19.5;22.6;21.1;22.1;24.4;25.5;28.4;28.7;28.1;25.0;23.6;20.1;24.1
Temperatura media de las máximas;LEON;8.1;13.5;13.8;14.7;22.0;22.0;29.8;25.7;22.8;14.8;12.8;7.1;17.3
Temperatura media de las máximas;LLEIDA;8.8;14.9;13.6;16.7;23.1;24.1;30.1;29.8;24.1;16.9;14.0;7.8;18.7
Temperatura media de las máximas;LUGO;11.2;15.1;14.5;16.0;22.1;21.0;26.4;24.4;23.2;15.9;15.1;9.6;17.9
Temperatura media de las máximas;MADRID;10.4;15.2;14.9;17.1;24.7;27.8;34.8;31.5;26.2;18.2;14.8;9.5;20.4
Temperatura media de las máximas;MALAGA;14.5;18.9;18.3;18.2;24.4;28.4;32.7;33.0;27.7;22.7;19.0;14.7;22.7
Temperatura media de las máximas;MELILLA;17.8;19.1;19.5;21.3;24.4;27.0;29.4;31.1;27.7;23.3;21.6;18.3;23.4
Temperatura media de las máximas;MURCIA;14.2;19.2;17.6;19.1;25.9;29.5;33.3;33.9;28.3;23.4;19.4;15.4;23.3
Temperatura media de las máximas;NAVARRA;9.3;14.8;13.6;17.3;23.0;23.4;28.7;28.5;24.2;16.4;14.3;8.3;18.5
Temperatura media de las máximas;OURENSE;10.0;14.9;14.9;15.8;23.5;22.2;31.0;26.5;24.8;15.7;14.5;8.7;18.5
Temperatura media de las máximas;PALENCIA;7.5;13.5;13.9;15.7;22.4;23.5;29.9;27.5;23.5;15.9;13.4;7.7;17.9
Temperatura media de las máximas;PONTEVEDRA;12.5;15.7;16.1;17.0;23.4;21.8;29.6;25.4;25.0;17.3;16.6;11.5;19.3
Temperatura media de las máximas;SALAMANCA;9.2;15.0;14.4;16.0;23.6;25.7;33.2;29.8;25.7;17.9;14.9;9.1;19.5
Temperatura media de las máximas;SANTA CRUZ DE TENERIFE;17.2;20.5;18.2;18.8;21.8;22.5;27.3;27.1;25.9;22.4;20.7;16.9;21.6
Temperatura media de las máximas;SEGOVIA;9.0;14.1;13.3;15.4;22.4;24.4;31.8;28.7;24.0;16.1;14.1;7.7;18.4
Temperatura media de las máximas;SEVILLA;15.2;20.8;20.3;21.1;28.7;31.0;37.9;36.0;31.5;25.1;20.8;15.3;25.3
Temperatura media de las máximas;SORIA;8.9;14.3;12.6;15.1;22.1;23.6;30.7;28.8;23.6;15.6;13.8;7.3;18.0
Temperatura media de las máximas;TARRAGONA;12.1;17.9;16.5;19.0;25.2;26.5;31.9;31.6;27.4;21.3;17.4;12.3;21.6
Temperatura media de las máximas;TERUEL;9.3;15.3;12.4;15.2;21.9;24.3;30.2;29.5;23.5;17.3;13.9;8.9;18.5
Temperatura media de las máximas;TOLEDO;11.4;16.6;16.7;18.9;26.6;29.8;37.2;33.9;28.4;20.6;16.3;11.1;22.3
Temperatura media de las máximas;VALENCIA/VALÈNCIA;13.7;19.4;16.1;18.6;25.3;28.5;32.1;32.9;27.7;22.6;18.3;14.1;22.4
Temperatura media de las máximas;VALLADOLID;7.7;14.7;15.1;17.1;24.3;25.7;32.9;29.8;25.7;17.7;14.4;9.0;19.5
Temperatura media de las máximas;ZAMORA;8.0;14.6;14.9;16.2;23.9;24.9;32.5;28.7;25.4;17.2;13.5;8.7;19.0
Temperatura media de las máximas;ZARAGOZA;9.9;16.6;15.2;18.5;25.0;26.9;32.6;31.9;26.5;19.2;15.2;10.2;20.6
