Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Anomalía de la temperatura media de las máximas;PRINCIPADO DE ASTURIAS;1.3;3.8;-0.3;0.9;3.0;-1.0;0.4;-0.1;-0.2;-1.5;2.0;-0.7;0.6
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE BALEARES;1.4;3.4;0.6;1.1;2.4;0.0;0.9;0.9;0.3;-0.4;1.9;0.7;1.0
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CANTABRIA;1.3;3.8;-0.1;1.6;3.2;-1.2;0.6;0.6;0.2;-1.8;2.6;-0.6;0.8
Anomalía de la temperatura media de las máximas;CIUDAD AUTÓNOMA DE CEUTA;0.6;2.0;0.9;0.1;1.6;0.9;1.3;2.2;0.9;-0.2;0.4;0.2;1.0
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE LA RIOJA;0.9;5.0;0.0;0.8;3.5;-1.1;1.0;0.5;0.6;-1.3;1.8;-0.1;1.0
Anomalía de la temperatura media de las máximas;COMUNIDAD DE MADRID;1.0;3.7;-0.6;0.0;3.2;-0.1;2.8;0.1;-0.2;-1.2;1.5;-0.3;0.8
Anomalía de la temperatura media de las máximas;CIUDAD AUTÓNOMA DE MELILLA;1.0;1.9;0.9;1.1;1.7;0.9;0.3;1.5;0.4;-0.6;1.2;0.4;0.9
Anomalía de la temperatura media de las máximas;REGIÓN DE MURCIA;0.4;4.0;-0.5;-1.1;2.1;0.6;0.8;1.7;0.3;0.6;1.9;1.0;1.0
Anomalía de la temperatura media de las máximas;COMUNIDAD FORAL DE NAVARRA;0.7;4.5;-0.2;1.8;3.1;-1.1;1.1;1.0;0.5;-1.9;2.0;-0.8;0.9
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CANARIAS;0.6;3.2;0.2;0.7;2.0;0.7;2.0;1.4;1.5;0.2;1.1;-0.3;1.2
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;0.6;4.2;0.0;-0.7;2.7;0.0;2.1;1.1;0.4;0.1;2.0;-0.1;1.1
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE ARAGÓN;0.6;5.0;-0.7;0.5;2.6;-1.1;1.1;1.2;0.3;-0.9;1.8;-0.1;0.9
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;0.9;4.4;-0.7;-0.1;2.9;-0.2;2.2;0.8;0.0;-0.4;2.2;0.0;1.0
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;0.8;4.3;0.3;0.6;3.7;-0.8;2.5;0.0;0.3;-1.2;2.3;-0.3;1.0
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CATALUÑA;1.2;4.4;-0.4;0.5;2.7;-1.3;0.9;1.4;0.5;-0.8;2.1;0.0;0.9
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE EXTREMADURA;0.5;3.6;-0.4;-0.7;2.7;-0.9;3.1;0.1;0.3;-0.4;1.4;-0.3;0.8
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE GALICIA;1.0;3.2;0.4;0.7;4.3;-1.0;3.1;-0.3;1.1;-1.6;2.1;-0.8;1.0
Anomalía de la temperatura media de las máximas;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;1.4;4.5;0.1;2.5;3.0;-0.7;0.6;1.4;1.1;-1.9;2.8;-0.4;1.2
Anomalía de la temperatura media de las máximas;COMUNITAT VALENCIANA;0.9;4.9;-0.8;-0.4;2.5;0.4;0.9;1.6;0.6;0.7;1.8;0.8;1.2
