Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Anomalía de la temperatura media;A CORUÑA;0.9;2.6;0.4;1.6;3.3;-0.2;1.7;0.3;0.9;-0.6;1.6;0.0;1.1
Anomalía de la temperatura media;ALBACETE;0.4;3.5;0.0;0.6;1.9;0.2;1.3;1.0;-0.4;-1.2;1.7;-0.1;0.7
Anomalía de la temperatura media;ALICANTE/ALACANT;0.4;3.2;0.6;0.4;2.1;0.3;0.9;1.3;0.0;-0.6;1.5;0.4;0.9
Anomalía de la temperatura media;ALMERIA;0.3;2.6;0.6;0.1;2.4;0.8;1.7;1.7;0.6;-0.3;1.8;0.5;1.1
Anomalía de la temperatura media;ARABA/ALAVA;0.7;3.6;0.2;2.8;2.5;-0.2;0.5;1.0;0.6;-1.2;1.8;0.2;1.1
Anomalía de la temperatura media;ASTURIAS;1.4;3.5;0.2;2.0;2.9;-0.4;0.7;0.4;0.4;-0.6;2.0;0.2;1.1
Anomalía de la temperatura media;AVILA;1.1;3.4;0.1;1.2;2.8;-0.3;2.3;0.1;-0.2;-1.2;2.2;0.0;1.0
Anomalía de la temperatura media;BADAJOZ;1.0;3.0;0.2;0.5;2.7;-1.1;2.9;0.1;0.4;-0.8;1.9;0.1;0.9
Anomalía de la temperatura media;ILLES BALEARS;1.0;2.5;0.9;1.3;2.0;0.0;0.5;0.7;0.0;-1.2;1.6;0.5;0.8
Anomalía de la temperatura media;BARCELONA;1.1;3.5;0.3;1.2;2.4;-0.8;0.8;1.0;0.2;-1.3;2.0;0.2;0.9
Anomalía de la temperatura media;BIZKAIA;1.2;3.5;0.0;3.1;2.4;-0.2;0.5;1.0;1.0;-1.2;2.3;0.2;1.2
Anomalía de la temperatura media;BURGOS;0.9;3.5;0.3;2.5;2.6;-0.5;1.0;0.3;0.1;-1.1;2.0;0.3;1.0
Anomalía de la temperatura media;CACERES;0.7;3.0;0.1;0.5;2.5;-1.0;2.6;-0.2;0.2;-0.9;1.8;0.1;0.8
Anomalía de la temperatura media;CADIZ;0.3;2.5;0.1;0.3;2.0;-0.5;1.8;0.6;0.8;-0.9;1.9;-0.1;0.8
Anomalía de la temperatura media;CANTABRIA;0.8;3.1;-0.1;2.5;2.3;-0.5;0.7;0.8;0.3;-1.0;2.0;-0.2;0.8
Anomalía de la temperatura media;CASTELLON/CASTELLÓ;0.7;3.7;0.2;0.9;2.3;-0.1;0.7;1.2;0.2;-0.4;1.3;0.3;0.9
Anomalía de la temperatura media;CEUTA;0.8;2.0;0.5;0.4;1.3;0.4;1.7;1.9;1.0;-0.5;0.9;0.1;0.9
Anomalía de la temperatura media;CIUDAD REAL;0.9;3.4;0.5;1.3;2.9;-0.1;2.6;0.6;0.2;-0.8;2.1;0.4;1.2
Anomalía de la temperatura media;CORDOBA;0.9;3.6;0.6;0.8;2.7;-0.1;2.7;0.7;0.5;-0.8;2.2;0.1;1.2
