Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las mínimas;A CORUÑA;5.5;7.0;6.4;8.7;11.1;11.9;14.1;14.2;12.5;9.9;8.3;5.9;9.6
Temperatura media de las mínimas;ALBACETE;0.6;3.7;4.8;7.5;10.9;13.5;17.5;17.0;12.5;6.8;5.6;1.6;8.5
Temperatura media de las mínimas;ALICANTE/ALACANT;4.6;7.4;8.3;9.8;13.7;16.0;19.7;19.9;16.1;10.9;9.5;5.5;11.8
Temperatura media de las mínimas;ALMERIA;4.1;6.4;8.1;9.1;13.4;15.9;19.8;19.8;16.1;10.7;9.1;5.2;11.5
Temperatura media de las mínimas;ARABA/ALAVA;1.1;3.4;2.9;7.7;9.1;10.5;12.6;13.1;10.3;7.0;5.1;2.6;7.1
Temperatura media de las mínimas;ASTURIAS;3.3;5.2;4.5;7.8;10.1;10.7;13.6;13.6;11.7;8.2;6.7;3.9;8.3
Temperatura media de las mínimas;AVILA;0.1;1.9;2.2;5.4;8.7;10.3;14.8;13.0;9.7;5.0;4.7;0.8;6.4
Temperatura media de las mínimas;BADAJOZ;4.4;6.5;7.1;9.7;13.5;14.2;20.3;17.7;15.8;10.0;9.6;5.4;11.2
Temperatura media de las mínimas;ILLES BALEARS;6.4;7.4;8.6;10.9;14.4;16.6;19.7;20.5;17.3;12.4;11.2;7.4;12.7
Temperatura media de las mínimas;BARCELONA;1.8;4.5;4.7;7.8;11.9;13.6;17.2;17.4;13.3;7.8;6.4;2.1;9.0
Temperatura media de las mínimas;BIZKAIA;4.4;6.5;5.1;9.6;11.2;12.4;14.6;15.1;12.7;9.4;8.2;5.4;9.6
Temperatura media de las mínimas;BURGOS;0.3;2.2;1.9;6.6;8.1;9.3;12.1;11.9;9.0;5.5;3.8;1.2;6.0
Temperatura media de las mínimas;CACERES;4.0;6.5;6.7;9.3;13.3;14.2;20.3;17.5;15.3;9.7;9.1;4.6;10.9
Temperatura media de las mínimas;CADIZ;6.3;9.0;9.3;11.4;14.6;16.0;20.6;19.4;18.2;12.3;12.3;7.7;13.1
Temperatura media de las mínimas;CANTABRIA;2.4;4.3;3.5;8.2;9.1;10.7;13.2;13.5;10.9;8.0;6.0;3.1;7.7
Temperatura media de las mínimas;CASTELLON/CASTELLÓ;2.8;5.4;6.1;8.3;12.0;14.0;17.1;17.9;13.8;9.1;7.2;3.8;9.8
Temperatura media de las mínimas;CEUTA;11.5;13.1;12.4;13.8;16.2;18.3;22.0;22.2;20.3;15.9;15.0;11.8;16.0
Temperatura media de las mínimas;CIUDAD REAL;1.7;4.4;5.3;8.5;12.4;14.8;20.0;18.0;14.1;8.0;6.7;2.8;9.7
Temperatura media de las mínimas;CORDOBA;3.9;6.5;7.2;9.9;13.4;15.4;20.7;18.8;15.8;9.8;9.2;4.8;11.3
Temperatura media de las mínimas;CUENCA;0.2;2.3;3.5;6.8;10.0;12.2;16.8;15.4;11.6;5.6;4.5;0.5;7.4
Temperatura media de las mínimas;GIPUZKOA;4.2;6.4;5.1;9.6;11.2;12.3;14.3;15.1;12.5;9.2;7.8;5.0;9.4
