Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Anomalía de la temperatura media de las mínimas;PRINCIPADO DE ASTURIAS;1.4;3.2;0.8;3.0;2.6;0.1;1.1;1.0;1.1;0.2;1.9;1.2;1.5
Anomalía de la temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE BALEARES;0.7;1.5;1.3;1.6;1.7;0.0;0.2;0.5;-0.2;-1.9;1.2;0.2;0.5
Anomalía de la temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE CANTABRIA;0.3;2.3;-0.1;3.5;1.4;0.2;0.8;0.9;0.4;-0.2;1.2;0.1;0.9
Anomalía de la temperatura media de las mínimas;CIUDAD AUTÓNOMA DE CEUTA;1.0;2.0;0.1;0.6;1.0;0.1;1.9;1.7;1.0;-0.8;1.4;0.0;0.8
Anomalía de la temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE LA RIOJA;0.3;2.1;0.4;3.0;2.5;0.0;0.6;0.6;0.2;-0.8;0.9;0.9;0.9
Anomalía de la temperatura media de las mínimas;COMUNIDAD DE MADRID;1.2;2.5;1.4;2.6;2.6;0.1;2.4;0.7;0.5;-1.1;2.1;1.0;1.4
Anomalía de la temperatura media de las mínimas;CIUDAD AUTÓNOMA DE MELILLA;0.0;1.8;1.3;0.8;1.7;0.7;1.4;1.7;1.0;-0.5;0.8;0.4;1.0
Anomalía de la temperatura media de las mínimas;REGIÓN DE MURCIA;0.0;2.0;1.4;1.3;1.6;0.1;0.8;0.8;-0.3;-1.8;1.4;-0.2;0.6
Anomalía de la temperatura media de las mínimas;COMUNIDAD FORAL DE NAVARRA;0.5;2.2;0.4;3.1;2.4;0.0;0.4;0.7;0.3;-1.0;0.8;1.0;0.9
Anomalía de la temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE CANARIAS;-0.1;2.3;0.1;0.6;1.3;0.8;1.5;0.9;1.2;0.5;0.9;0.0;0.9
Anomalía de la temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;0.8;2.5;1.1;1.7;2.4;0.2;2.3;1.0;0.7;-1.4;2.1;0.3;1.1
Anomalía de la temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE ARAGÓN;0.5;2.7;1.1;2.7;2.3;-0.1;0.7;0.8;-0.1;-1.4;1.1;0.5;0.9
Anomalía de la temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;1.0;2.5;1.4;2.6;2.4;0.2;2.0;0.7;0.1;-1.6;1.8;0.5;1.1
Anomalía de la temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;1.1;2.7;0.9;3.2;2.3;-0.2;1.4;0.4;0.3;-0.8;2.0;0.8;1.2
Anomalía de la temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE CATALUÑA;0.9;2.9;1.1;2.1;2.3;-0.2;0.5;0.6;0.0;-1.7;1.5;0.3;0.8
Anomalía de la temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE EXTREMADURA;1.1;2.4;0.6;1.7;2.4;-1.2;2.5;-0.2;0.3;-1.5;2.4;0.5;0.9
Anomalía de la temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE GALICIA;1.4;3.1;0.9;2.8;2.9;0.2;1.3;0.7;1.0;0.3;1.9;0.9;1.4
Anomalía de la temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;0.5;2.7;0.1;3.5;1.8;0.2;0.3;0.7;0.2;-0.8;1.3;0.8;0.9
Anomalía de la temperatura media de las mínimas;COMUNITAT VALENCIANA;0.3;2.2;1.6;1.7;2.0;0.4;0.8;0.8;-0.5;-1.5;0.9;0.1;0.7
