Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Anomalía de la temperatura media de las mínimas;A CORUÑA;1.3;2.9;0.9;2.4;2.5;0.6;1.1;1.1;0.9;0.5;1.6;0.9;1.4
Anomalía de la temperatura media de las mínimas;ALBACETE;0.1;2.2;1.0;1.8;1.6;-0.1;0.9;0.4;-0.9;-2.3;1.0;-0.1;0.5
Anomalía de la temperatura media de las mínimas;ALICANTE/ALACANT;0.1;2.2;1.3;1.0;1.7;0.0;0.9;0.8;-0.3;-1.7;1.0;-0.2;0.6
Anomalía de la temperatura media de las mínimas;ALMERIA;0.3;1.7;1.6;1.1;2.3;0.8;1.6;1.5;0.8;-0.9;1.5;0.2;1.1
Anomalía de la temperatura media de las mínimas;ARABA/ALAVA;0.0;2.3;0.1;3.5;1.7;0.1;0.2;0.5;0.1;-0.7;1.0;0.7;0.8
Anomalía de la temperatura media de las mínimas;ASTURIAS;1.4;3.2;0.8;3.0;2.6;0.1;1.1;1.0;1.1;0.2;1.9;1.2;1.5
Anomalía de la temperatura media de las mínimas;AVILA;1.1;2.3;0.6;2.4;2.3;-0.3;2.0;0.3;-0.3;-1.1;2.5;0.8;1.1
Anomalía de la temperatura media de las mínimas;BADAJOZ;1.1;2.2;0.6;1.7;2.3;-1.3;2.5;-0.1;0.3;-1.6;2.3;0.6;0.9
Anomalía de la temperatura media de las mínimas;ILLES BALEARS;0.7;1.5;1.3;1.6;1.7;0.0;0.2;0.5;-0.2;-1.9;1.2;0.2;0.5
Anomalía de la temperatura media de las mínimas;BARCELONA;0.9;3.0;0.9;2.0;2.4;0.0;0.8;0.9;-0.1;-1.9;1.7;0.3;0.9
Anomalía de la temperatura media de las mínimas;BIZKAIA;0.8;2.9;0.1;3.5;2.0;0.3;0.6;0.7;0.4;-0.6;1.7;0.9;1.2
Anomalía de la temperatura media de las mínimas;BURGOS;0.9;2.7;0.5;3.7;1.9;-0.1;0.7;0.5;0.1;-0.5;1.4;0.9;1.1
Anomalía de la temperatura media de las mínimas;CACERES;1.2;2.7;0.6;1.7;2.5;-1.1;2.4;-0.3;0.2;-1.3;2.4;0.5;1.0
Anomalía de la temperatura media de las mínimas;CADIZ;-0.1;1.6;0.2;1.2;1.7;-0.5;1.7;0.2;0.9;-1.8;2.0;-0.3;0.6
Anomalía de la temperatura media de las mínimas;CANTABRIA;0.3;2.3;-0.1;3.5;1.4;0.2;0.8;0.9;0.4;-0.2;1.2;0.1;0.9
Anomalía de la temperatura media de las mínimas;CASTELLON/CASTELLÓ;0.3;2.5;1.3;1.8;2.2;0.1;0.4;1.0;-0.2;-1.2;1.1;0.3;0.8
Anomalía de la temperatura media de las mínimas;CEUTA;1.0;2.0;0.1;0.6;1.0;0.1;1.9;1.7;1.0;-0.8;1.4;0.0;0.8
Anomalía de la temperatura media de las mínimas;CIUDAD REAL;1.0;2.7;1.3;2.5;2.7;0.3;2.5;0.7;0.3;-1.4;2.0;0.8;1.3
