Parámetro;periodo de referencia;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;1981-2010;PRINCIPADO DE ASTURIAS;118.2;107.3;102.2;122.2;99.7;65.1;47.3;56.2;74.0;127.8;150.8;139.4;1210.2
Precipitación;1981-2010;COMUNIDAD AUTÓNOMA DE BALEARES;53.2;46.4;38.0;45.3;39.6;13.9;6.8;21.8;66.1;80.5;83.4;70.0;565.0
Precipitación;1981-2010;COMUNIDAD AUTÓNOMA DE CANTABRIA;125.7;105.0;107.0;115.0;97.8;62.6;49.2;61.7;74.7;111.3;153.0;130.4;1193.4
Precipitación;1981-2010;CIUDAD AUTÓNOMA DE CEUTA;85.5;96.6;66.3;61.1;26.7;6.0;1.3;5.8;24.0;68.9;106.1;148.9;697.2
Precipitación;1981-2010;COMUNIDAD AUTÓNOMA DE LA RIOJA;43.5;36.0;37.8;62.3;68.9;48.7;31.7;27.5;33.5;52.2;55.4;53.3;550.8
Precipitación;1981-2010;COMUNIDAD DE MADRID;45.3;40.2;32.0;53.0;57.2;28.1;11.6;12.8;29.0;67.3;68.5;66.2;511.2
Precipitación;1981-2010;CIUDAD AUTÓNOMA DE MELILLA;55.6;55.6;42.2;29.4;19.2;6.8;0.8;3.6;17.1;38.9;54.5;48.2;371.9
Precipitación;1981-2010;REGIÓN DE MURCIA;25.4;28.9;29.6;29.3;33.1;18.7;4.2;11.0;34.8;38.5;36.7;26.4;316.6
Precipitación;1981-2010;COMUNIDAD FORAL DE NAVARRA;85.8;73.8;74.4;98.7;79.4;54.5;38.9;42.7;61.3;89.0;103.8;99.7;902.0
Precipitación;1981-2010;COMUNIDAD AUTÓNOMA DE CANARIAS;41.3;43.7;33.5;15.8;5.6;2.1;0.8;1.7;7.2;27.1;47.0;64.5;290.3
Precipitación;1981-2010;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;68.8;58.5;46.1;56.3;39.7;14.4;2.9;6.9;29.8;67.4;85.0;100.1;575.9
Precipitación;1981-2010;COMUNIDAD AUTÓNOMA DE ARAGÓN;33.9;29.2;30.5;56.9;64.0;44.0;26.9;34.4;48.8;58.8;49.2;42.9;519.5
Precipitación;1981-2010;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;41.5;38.4;33.7;55.0;52.0;30.4;9.4;13.0;32.5;59.1;55.1;61.2;481.3
Precipitación;1981-2010;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;58.8;46.0;41.4;61.4;65.3;36.7;20.2;21.4;40.0;74.9;73.1;77.9;617.1
Precipitación;1981-2010;COMUNIDAD AUTÓNOMA DE CATALUÑA;43.5;32.9;38.5;60.0;70.3;50.3;31.4;51.6;67.8;77.4;60.5;49.8;634.0
Precipitación;1981-2010;COMUNIDAD AUTÓNOMA DE EXTREMADURA;68.4;55.2;41.7;59.3;50.2;21.0;5.3;6.9;33.4;80.8;87.4;94.3;603.9
Precipitación;1981-2010;COMUNIDAD AUTÓNOMA DE GALICIA;155.3;121.8;108.1;120.1;102.0;55.0;36.1;41.0;79.7;170.7;175.6;189.9;1355.3
Precipitación;1981-2010;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;121.4;98.7;101.0;114.9;93.1;62.4;50.1;62.0;72.1;109.7;142.9;128.2;1156.5
Precipitación;1981-2010;COMUNITAT VALENCIANA;42.1;38.3;35.2;49.6;49.8;27.3;11.8;21.9;60.4;70.0;56.9;47.5;510.8
