Parámetro;periodo de referencia;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las máximas;1981-2010;PRINCIPADO DE ASTURIAS;10.5;11.6;13.9;14.6;17.4;20.8;23.0;23.5;21.7;17.7;13.4;10.9;16.6
Temperatura media de las máximas;1981-2010;COMUNIDAD AUTÓNOMA DE BALEARES;14.3;14.8;17.0;19.2;23.0;27.4;30.6;30.8;27.2;23.1;18.3;15.3;21.8
Temperatura media de las máximas;1981-2010;COMUNIDAD AUTÓNOMA DE CANTABRIA;10.3;11.4;13.6;14.9;17.7;21.2;23.2;23.6;22.0;18.0;13.5;10.9;16.7
Temperatura media de las máximas;1981-2010;CIUDAD AUTÓNOMA DE CEUTA;16.1;16.3;17.9;19.2;21.6;25.1;27.4;27.5;25.6;22.3;19.1;16.9;21.2
Temperatura media de las máximas;1981-2010;COMUNIDAD AUTÓNOMA DE LA RIOJA;7.9;9.5;13.1;14.7;18.9;24.0;27.4;27.1;23.0;17.5;11.6;8.5;16.9
Temperatura media de las máximas;1981-2010;COMUNIDAD DE MADRID;9.4;11.5;15.5;17.1;21.5;27.9;32.0;31.4;26.4;19.4;13.3;9.8;19.6
Temperatura media de las máximas;1981-2010;CIUDAD AUTÓNOMA DE MELILLA;16.8;17.2;18.6;20.2;22.7;26.1;29.1;29.6;27.3;23.9;20.4;17.9;22.5
Temperatura media de las máximas;1981-2010;REGIÓN DE MURCIA;13.8;15.2;18.1;20.2;23.8;28.9;32.5;32.2;28.0;22.8;17.5;14.4;22.3
Temperatura media de las máximas;1981-2010;COMUNIDAD FORAL DE NAVARRA;8.6;10.3;13.8;15.5;19.9;24.5;27.6;27.5;23.7;18.3;12.3;9.1;17.6
Temperatura media de las máximas;1981-2010;COMUNIDAD AUTÓNOMA DE CANARIAS;17.9;18.4;19.6;19.9;21.2;23.4;25.9;26.6;25.6;23.6;21.2;18.9;21.8
Temperatura media de las máximas;1981-2010;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;13.4;15.0;18.4;19.9;23.9;29.6;33.7;33.3;28.8;22.9;17.3;14.0;22.5
Temperatura media de las máximas;1981-2010;COMUNIDAD AUTÓNOMA DE ARAGÓN;8.7;10.7;14.5;16.4;20.8;26.3;30.1;29.3;24.6;18.8;12.7;9.1;18.5
Temperatura media de las máximas;1981-2010;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;10.0;12.1;16.0;17.8;22.3;28.8;33.1;32.4;27.1;20.2;14.0;10.3;20.3
Temperatura media de las máximas;1981-2010;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;7.6;9.8;13.5;15.0;19.0;24.8;28.6;28.2;23.9;17.4;11.5;8.3;17.3
Temperatura media de las máximas;1981-2010;COMUNIDAD AUTÓNOMA DE CATALUÑA;9.7;11.6;15.1;17.1;21.1;25.9;29.4;28.8;24.6;19.5;13.6;10.1;18.9
Temperatura media de las máximas;1981-2010;COMUNIDAD AUTÓNOMA DE EXTREMADURA;12.2;14.2;18.2;19.8;24.1;30.5;34.4;33.9;29.3;22.4;16.3;12.7;22.3
Temperatura media de las máximas;1981-2010;COMUNIDAD AUTÓNOMA DE GALICIA;10.5;11.9;14.6;15.6;18.4;22.3;24.7;25.2;22.8;17.9;13.4;11.0;17.4
Temperatura media de las máximas;1981-2010;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;10.0;11.1;13.9;15.3;19.1;22.5;25.0;25.3;22.9;18.6;13.2;10.5;17.3
Temperatura media de las máximas;1981-2010;COMUNITAT VALENCIANA;12.9;14.1;17.0;18.8;22.3;27.1;30.5;30.4;26.5;21.6;16.5;13.4;20.9
