Parámetro;periodo de referencia;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las máximas;1981-2010;A CORUÑA;12.0;12.9;15.1;16.1;18.4;21.6;23.5;24.1;22.5;18.5;14.7;12.6;17.7
Temperatura media de las máximas;1981-2010;ALBACETE;10.4;12.3;16.0;18.1;22.5;28.9;33.2;32.4;27.0;20.5;14.3;10.8;20.5
Temperatura media de las máximas;1981-2010;ALICANTE/ALACANT;14.1;15.2;17.8;19.7;23.1;27.6;30.8;30.9;27.3;22.7;17.7;14.7;21.8
Temperatura media de las máximas;1981-2010;ALMERIA;13.7;14.8;17.3;19.0;22.7;27.8;31.4;31.2;27.0;22.1;17.2;14.4;21.6
Temperatura media de las máximas;1981-2010;ARABA/ALAVA;8.4;9.8;13.1;14.7;18.8;22.9;25.8;25.9;22.8;17.7;11.9;8.9;16.7
Temperatura media de las máximas;1981-2010;ASTURIAS;10.5;11.6;13.9;14.6;17.4;20.8;23.0;23.5;21.7;17.7;13.4;10.9;16.6
Temperatura media de las máximas;1981-2010;AVILA;7.9;9.6;13.3;14.7;18.9;25.3;29.6;29.2;24.4;17.6;11.8;8.7;17.6
Temperatura media de las máximas;1981-2010;BADAJOZ;12.6;14.6;18.6;20.2;24.5;30.8;34.6;34.2;29.6;22.8;16.8;13.1;22.7
Temperatura media de las máximas;1981-2010;ILLES BALEARS;14.3;14.8;17.0;19.2;23.0;27.4;30.6;30.8;27.2;23.1;18.3;15.3;21.8
Temperatura media de las máximas;1981-2010;BARCELONA;10.4;12.1;15.4;17.5;21.4;26.0;29.4;28.9;24.8;19.9;14.1;10.8;19.2
Temperatura media de las máximas;1981-2010;BIZKAIA;11.5;12.4;14.8;16.0;19.5;22.3;24.4;25.0;23.2;19.6;14.6;12.0;17.9
Temperatura media de las máximas;1981-2010;BURGOS;7.4;9.3;13.0;14.5;18.6;23.8;27.4;27.3;23.2;17.3;11.2;8.1;16.8
Temperatura media de las máximas;1981-2010;CACERES;11.7;13.8;17.8;19.4;23.7;30.1;34.1;33.6;28.8;21.8;15.8;12.1;21.9
Temperatura media de las máximas;1981-2010;CADIZ;15.3;16.6;19.2;20.6;23.7;28.3;31.9;31.9;28.6;23.9;19.1;16.1;22.9
Temperatura media de las máximas;1981-2010;CANTABRIA;10.3;11.4;13.6;14.9;17.7;21.2;23.2;23.6;22.0;18.0;13.5;10.9;16.7
Temperatura media de las máximas;1981-2010;CASTELLON/CASTELLÓ;12.2;13.0;15.7;17.3;20.9;25.5;28.9;28.7;25.1;20.5;15.6;12.7;19.7
Temperatura media de las máximas;1981-2010;CEUTA;16.1;16.3;17.9;19.2;21.6;25.1;27.4;27.5;25.6;22.3;19.1;16.9;21.2
Temperatura media de las máximas;1981-2010;CIUDAD REAL;10.7;13.0;17.2;18.8;23.4;30.2;34.5;33.9;28.6;21.5;15.0;11.2;21.5
Temperatura media de las máximas;1981-2010;CORDOBA;13.0;15.0;18.9;20.5;24.9;31.2;35.4;34.9;29.9;23.3;17.1;13.6;23.1
Temperatura media de las máximas;1981-2010;CUENCA;9.3;11.2;15.1;16.8;21.2;27.7;32.0;31.3;25.9;19.2;13.1;9.6;19.4
