Parámetro;periodo de referencia;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media;1981-2010;PRINCIPADO DE ASTURIAS;6.2;6.8;8.8;9.7;12.4;15.7;17.8;18.1;16.2;12.8;9.1;6.8;11.7
Temperatura media;1981-2010;COMUNIDAD AUTÓNOMA DE BALEARES;10.0;10.3;12.2;14.3;17.9;22.0;25.1;25.4;22.4;18.7;14.1;11.2;17.0
Temperatura media;1981-2010;COMUNIDAD AUTÓNOMA DE CANTABRIA;6.2;6.7;8.6;9.8;12.7;15.9;17.8;18.1;16.2;13.1;9.1;6.9;11.8
Temperatura media;1981-2010;CIUDAD AUTÓNOMA DE CEUTA;13.3;13.7;15.1;16.2;18.4;21.7;23.7;24.0;22.4;19.5;16.4;14.4;18.2
Temperatura media;1981-2010;COMUNIDAD AUTÓNOMA DE LA RIOJA;3.9;4.9;7.7;9.2;13.0;17.3;20.0;19.9;16.6;12.2;7.4;4.6;11.4
Temperatura media;1981-2010;COMUNIDAD DE MADRID;4.7;6.1;9.3;11.0;15.0;20.5;23.9;23.4;19.3;13.7;8.5;5.5;13.4
Temperatura media;1981-2010;CIUDAD AUTÓNOMA DE MELILLA;13.4;13.9;15.3;16.7;19.3;22.6;25.5;26.1;24.0;20.5;17.1;14.6;19.1
Temperatura media;1981-2010;REGIÓN DE MURCIA;8.6;9.7;12.2;14.1;17.6;22.1;25.3;25.3;21.8;17.3;12.4;9.5;16.3
Temperatura media;1981-2010;COMUNIDAD FORAL DE NAVARRA;4.7;5.7;8.6;10.3;14.2;18.2;20.8;20.8;17.5;13.3;8.3;5.4;12.3
Temperatura media;1981-2010;COMUNIDAD AUTÓNOMA DE CANARIAS;14.6;14.9;16.0;16.3;17.5;19.7;22.1;22.8;21.9;20.1;17.8;15.8;18.3
Temperatura media;1981-2010;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;8.4;9.7;12.4;13.9;17.5;22.4;25.8;25.6;22.0;17.2;12.3;9.4;16.4
Temperatura media;1981-2010;COMUNIDAD AUTÓNOMA DE ARAGÓN;4.1;5.4;8.5;10.4;14.4;19.1;22.3;21.9;17.9;13.2;7.9;4.7;12.5
Temperatura media;1981-2010;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;4.9;6.4;9.5;11.4;15.5;21.0;24.6;24.1;19.8;14.3;8.9;5.7;13.8
Temperatura media;1981-2010;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;3.3;4.6;7.4;8.9;12.6;17.3;20.2;20.0;16.5;11.7;6.8;4.2;11.1
Temperatura media;1981-2010;COMUNIDAD AUTÓNOMA DE CATALUÑA;5.0;6.2;9.1;11.1;15.0;19.4;22.6;22.2;18.5;14.1;8.8;5.6;13.1
Temperatura media;1981-2010;COMUNIDAD AUTÓNOMA DE EXTREMADURA;7.6;9.2;12.3;13.8;17.6;22.9;26.1;25.9;22.3;16.9;11.7;8.6;16.2
Temperatura media;1981-2010;COMUNIDAD AUTÓNOMA DE GALICIA;6.5;7.2;9.3;10.3;12.9;16.4;18.5;18.7;16.7;13.0;9.3;7.1;12.2
Temperatura media;1981-2010;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;6.2;6.8;9.0;10.3;13.8;16.9;19.2;19.5;17.2;13.8;9.4;6.9;12.4
Temperatura media;1981-2010;COMUNITAT VALENCIANA;8.0;8.9;11.2;13.0;16.4;20.9;24.0;24.1;20.7;16.4;11.7;8.8;15.3
