Parámetro;periodo de referencia;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media;1981-2010;A CORUÑA;8.1;8.5;10.3;11.2;13.5;16.4;18.2;18.6;17.1;13.9;10.7;8.8;12.9
Temperatura media;1981-2010;ALBACETE;5.5;6.9;9.9;11.9;15.9;21.2;24.9;24.5;20.2;14.8;9.4;6.3;14.3
Temperatura media;1981-2010;ALICANTE/ALACANT;9.3;10.2;12.4;14.2;17.5;21.8;24.8;25.0;21.9;17.7;13.1;10.2;16.5
Temperatura media;1981-2010;ALMERIA;8.8;9.7;11.9;13.5;16.9;21.4;24.8;24.8;21.2;16.9;12.4;9.7;16.0
Temperatura media;1981-2010;ARABA/ALAVA;4.7;5.4;8.0;9.4;13.1;16.6;19.1;19.2;16.5;12.7;8.0;5.4;11.5
Temperatura media;1981-2010;ASTURIAS;6.2;6.8;8.8;9.7;12.4;15.7;17.8;18.1;16.2;12.8;9.1;6.8;11.7
Temperatura media;1981-2010;AVILA;3.4;4.6;7.5;8.9;12.6;17.9;21.2;20.9;17.1;11.9;6.9;4.3;11.4
Temperatura media;1981-2010;BADAJOZ;7.9;9.5;12.5;14.1;17.8;23.1;26.2;26.0;22.6;17.2;12.1;9.0;16.5
Temperatura media;1981-2010;ILLES BALEARS;10.0;10.3;12.2;14.3;17.9;22.0;25.1;25.4;22.4;18.7;14.1;11.2;17.0
Temperatura media;1981-2010;BARCELONA;5.7;6.8;9.6;11.6;15.5;19.8;22.9;22.7;19.1;14.8;9.4;6.3;13.7
Temperatura media;1981-2010;BIZKAIA;7.6;8.0;9.9;11.1;14.3;17.2;19.2;19.7;17.7;14.8;10.6;8.3;13.2
Temperatura media;1981-2010;BURGOS;3.4;4.4;7.2;8.7;12.4;16.6;19.4;19.4;16.1;11.6;6.8;4.2;10.8
Temperatura media;1981-2010;CACERES;7.3;8.8;11.9;13.5;17.2;22.7;26.0;25.7;22.0;16.4;11.2;8.1;15.9
Temperatura media;1981-2010;CADIZ;10.9;12.0;14.2;15.4;18.3;22.4;25.4;25.5;23.0;19.0;14.7;12.0;17.7
Temperatura media;1981-2010;CANTABRIA;6.2;6.7;8.6;9.8;12.7;15.9;17.8;18.1;16.2;13.1;9.1;6.9;11.8
Temperatura media;1981-2010;CASTELLON/CASTELLÓ;7.3;8.0;10.3;11.9;15.4;19.7;22.8;22.8;19.5;15.4;10.8;8.1;14.3
Temperatura media;1981-2010;CEUTA;13.3;13.7;15.1;16.2;18.4;21.7;23.7;24.0;22.4;19.5;16.4;14.4;18.2
