Parámetro;periodo de referencia;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las mínimas;1981-2010;PRINCIPADO DE ASTURIAS;1.9;2.0;3.7;4.8;7.5;10.6;12.5;12.6;10.6;8.0;4.8;2.7;6.8
Temperatura media de las mínimas;1981-2010;COMUNIDAD AUTÓNOMA DE BALEARES;5.7;5.9;7.3;9.3;12.7;16.6;19.5;20.0;17.5;14.3;10.0;7.2;12.2
Temperatura media de las mínimas;1981-2010;COMUNIDAD AUTÓNOMA DE CANTABRIA;2.1;2.0;3.6;4.7;7.7;10.5;12.4;12.6;10.5;8.2;4.8;3.0;6.8
Temperatura media de las mínimas;1981-2010;CIUDAD AUTÓNOMA DE CEUTA;10.5;11.1;12.3;13.2;15.2;18.2;20.1;20.5;19.3;16.7;13.6;11.8;15.2
Temperatura media de las mínimas;1981-2010;COMUNIDAD AUTÓNOMA DE LA RIOJA;-0.1;0.3;2.3;3.8;7.2;10.6;12.6;12.7;10.1;6.9;3.1;0.7;5.8
Temperatura media de las mínimas;1981-2010;COMUNIDAD DE MADRID;0.0;0.8;3.1;4.9;8.5;13.1;15.8;15.5;12.2;8.0;3.7;1.1;7.2
Temperatura media de las mínimas;1981-2010;CIUDAD AUTÓNOMA DE MELILLA;9.9;10.6;11.9;13.2;15.8;19.1;21.8;22.5;20.6;17.2;13.7;11.3;15.6
Temperatura media de las mínimas;1981-2010;REGIÓN DE MURCIA;3.3;4.3;6.2;8.0;11.3;15.4;18.2;18.4;15.6;11.8;7.4;4.6;10.4
Temperatura media de las mínimas;1981-2010;COMUNIDAD FORAL DE NAVARRA;0.8;1.2;3.3;5.0;8.5;11.8;14.0;14.1;11.3;8.2;4.2;1.6;7.0
Temperatura media de las mínimas;1981-2010;COMUNIDAD AUTÓNOMA DE CANARIAS;11.4;11.5;12.3;12.6;13.9;16.0;18.3;19.0;18.2;16.5;14.5;12.6;14.7
Temperatura media de las mínimas;1981-2010;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;3.4;4.5;6.5;8.0;11.0;15.1;17.8;17.9;15.3;11.6;7.4;4.9;10.3
Temperatura media de las mínimas;1981-2010;COMUNIDAD AUTÓNOMA DE ARAGÓN;-0.4;0.1;2.4;4.3;8.1;12.0;14.6;14.5;11.3;7.6;3.1;0.4;6.5
Temperatura media de las mínimas;1981-2010;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;-0.1;0.8;3.0;5.0;8.7;13.2;16.0;15.9;12.5;8.3;3.8;1.2;7.4
Temperatura media de las mínimas;1981-2010;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;-1.0;-0.7;1.3;2.9;6.2;9.8;11.9;11.7;9.2;5.9;2.1;0.0;4.9
Temperatura media de las mínimas;1981-2010;COMUNIDAD AUTÓNOMA DE CATALUÑA;0.2;0.8;3.1;5.1;8.9;12.9;15.7;15.7;12.4;8.7;4.0;1.0;7.4
Temperatura media de las mínimas;1981-2010;COMUNIDAD AUTÓNOMA DE EXTREMADURA;3.1;4.1;6.3;7.8;11.0;15.4;17.8;17.8;15.3;11.4;7.0;4.5;10.1
Temperatura media de las mínimas;1981-2010;COMUNIDAD AUTÓNOMA DE GALICIA;2.4;2.5;4.0;5.0;7.5;10.5;12.3;12.3;10.5;8.1;5.1;3.3;7.0
Temperatura media de las mínimas;1981-2010;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;2.5;2.5;4.1;5.3;8.5;11.4;13.4;13.6;11.4;9.1;5.5;3.3;7.6
Temperatura media de las mínimas;1981-2010;COMUNITAT VALENCIANA;3.0;3.7;5.5;7.3;10.6;14.6;17.5;17.8;15.0;11.1;6.9;4.2;9.8
