Parámetro;periodo de referencia;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las mínimas;1981-2010;A CORUÑA;4.2;4.1;5.5;6.3;8.6;11.3;13.0;13.1;11.6;9.4;6.7;5.0;8.2
Temperatura media de las mínimas;1981-2010;ALBACETE;0.5;1.5;3.8;5.7;9.3;13.6;16.6;16.6;13.4;9.1;4.6;1.7;8.0
Temperatura media de las mínimas;1981-2010;ALICANTE/ALACANT;4.5;5.2;7.0;8.8;12.0;16.0;18.8;19.1;16.4;12.6;8.5;5.7;11.2
Temperatura media de las mínimas;1981-2010;ALMERIA;3.8;4.7;6.5;8.0;11.1;15.1;18.2;18.3;15.3;11.6;7.6;5.0;10.4
Temperatura media de las mínimas;1981-2010;ARABA/ALAVA;1.1;1.1;2.8;4.2;7.4;10.4;12.4;12.6;10.2;7.7;4.1;1.9;6.3
Temperatura media de las mínimas;1981-2010;ASTURIAS;1.9;2.0;3.7;4.8;7.5;10.6;12.5;12.6;10.6;8.0;4.8;2.7;6.8
Temperatura media de las mínimas;1981-2010;AVILA;-1.0;-0.4;1.6;3.0;6.4;10.6;12.8;12.7;10.0;6.1;2.2;0.0;5.3
Temperatura media de las mínimas;1981-2010;BADAJOZ;3.3;4.3;6.5;8.0;11.2;15.5;17.8;17.8;15.5;11.6;7.3;4.8;10.3
Temperatura media de las mínimas;1981-2010;ILLES BALEARS;5.7;5.9;7.3;9.3;12.7;16.6;19.5;20.0;17.5;14.3;10.0;7.2;12.2
Temperatura media de las mínimas;1981-2010;BARCELONA;0.9;1.5;3.8;5.8;9.5;13.6;16.4;16.5;13.4;9.7;4.7;1.8;8.1
Temperatura media de las mínimas;1981-2010;BIZKAIA;3.6;3.6;5.0;6.1;9.2;12.1;14.0;14.4;12.3;10.0;6.5;4.5;8.4
Temperatura media de las mínimas;1981-2010;BURGOS;-0.6;-0.5;1.4;2.9;6.2;9.4;11.4;11.4;8.9;6.0;2.4;0.3;4.9
Temperatura media de las mínimas;1981-2010;CACERES;2.8;3.8;6.1;7.6;10.8;15.3;17.9;17.8;15.1;11.0;6.7;4.1;9.9
Temperatura media de las mínimas;1981-2010;CADIZ;6.4;7.4;9.1;10.2;12.9;16.5;18.9;19.2;17.3;14.1;10.3;8.0;12.5
Temperatura media de las mínimas;1981-2010;CANTABRIA;2.1;2.0;3.6;4.7;7.7;10.5;12.4;12.6;10.5;8.2;4.8;3.0;6.8
Temperatura media de las mínimas;1981-2010;CASTELLON/CASTELLÓ;2.5;2.9;4.8;6.5;9.8;13.9;16.7;16.9;14.0;10.3;6.1;3.5;9.0
Temperatura media de las mínimas;1981-2010;CEUTA;10.5;11.1;12.3;13.2;15.2;18.2;20.1;20.5;19.3;16.7;13.6;11.8;15.2
Temperatura media de las mínimas;1981-2010;CIUDAD REAL;0.7;1.7;4.0;6.0;9.7;14.5;17.5;17.3;13.8;9.4;4.7;2.0;8.4
Temperatura media de las mínimas;1981-2010;CORDOBA;2.7;3.9;6.0;7.7;10.9;15.4;18.0;18.1;15.3;11.3;6.8;4.2;10.0
Temperatura media de las mínimas;1981-2010;CUENCA;-0.9;-0.3;2.0;4.0;7.7;12.0;14.9;14.7;11.4;7.3;2.9;0.4;6.3
Temperatura media de las mínimas;1981-2010;GIPUZKOA;3.5;3.5;5.0;6.1;9.3;12.2;14.2;14.5;12.3;10.1;6.5;4.2;8.4
Temperatura media de las mínimas;1981-2010;GIRONA;0.7;1.1;3.4;5.4;9.0;13.0;15.7;15.6;12.6;9.1;4.4;1.5;7.6
Temperatura media de las mínimas;1981-2010;GRANADA;0.5;1.6;3.7;5.2;8.4;12.7;15.7;15.5;12.4;8.5;4.3;1.9;7.5
