Year,Monthly_anomaly,Monthly_uncertainty,Annual_anomaly,Annual_uncertainty,Five-year_anomaly,Five-year_uncertainty,Ten-year_anomaly,Ten-year_uncertainty,Twenty-year_anomaly,Twenty-year_uncertainty,
1743,3,-1.37,2.028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,4,-2.355,2.058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,5,-1.681,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,7,-0.877,1.635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,9,-0.907,1.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,10,-4.002,1.796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,11,-1.238,3.141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,12,-1.659,2.161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,1,-2.503,1.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,2,-2.741,2.104,-1.338,0.783,NaN,NaN,NaN,NaN,NaN,NaN
1744,3,-1.783,1.945,-1.322,0.782,NaN,NaN,NaN,NaN,NaN,NaN
1744,4,0.052,6.257,-1.122,0.795,NaN,NaN,NaN,NaN,NaN,NaN
1744,5,-1.186,5.338,-1.034,0.895,NaN,NaN,NaN,NaN,NaN,NaN
1744,6,0.914,2.838,-1.009,1.025,NaN,NaN,NaN,NaN,NaN,NaN
1744,7,0.108,2.008,-0.989,0.816,NaN,NaN,NaN,NaN,NaN,NaN
1744,8,-1.11,1.884,-0.897,0.8,NaN,NaN,NaN,NaN,NaN,NaN
1744,9,-0.712,4.206,-0.941,0.752,NaN,NaN,NaN,NaN,NaN,NaN
1744,10,-1.605,2.206,-0.885,0.759,NaN,NaN,NaN,NaN,NaN,NaN
1744,11,-0.186,4.005,-0.844,0.734,NaN,NaN,NaN,NaN,NaN,NaN
1744,12,-1.354,4.948,-0.86,0.715,NaN,NaN,NaN,NaN,NaN,NaN
1745,1,-2.261,4.574,-0.861,0.711,NaN,NaN,NaN,NaN,NaN,NaN
1745,2,-1.639,3.407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,3,-2.309,2.175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,4,0.719,3.129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,5,-0.694,1.899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,6,0.719,1.814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,7,0.098,1.623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,9,-0.309,1.758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,12,-0.637,1.858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,1,-0.075,1.843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,2,-1.221,1.921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,3,-4.044,1.792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,4,-0.986,1.783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,6,-0.338,1.819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,4,-0.802,1.781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,6,1.602,1.816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,7,-0.306,1.627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,9,0.269,1.752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,10,-0.287,1.779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,11,-0.725,1.764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,4,-0.622,1.782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,5,0.812,1.897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,9,-1.027,1.756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,10,-0.627,1.816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,11,-0.684,1.847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,12,0.266,1.917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,1,-0.646,1.892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,2,-1.112,2.022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,3,-0.818,1.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,4,-0.665,1.794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,6,-0.503,1.899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,9,-0.732,1.781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,10,-1.753,1.816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,11,-0.807,1.809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,12,-2.774,1.899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,1,-1.771,2.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,2,-0.799,2.194,-0.624,0.821,NaN,NaN,NaN,NaN,NaN,NaN
1750,3,1.189,2.329,-0.607,0.837,NaN,NaN,NaN,NaN,NaN,NaN
1750,4,0.256,1.854,-0.584,0.841,NaN,NaN,NaN,NaN,NaN,NaN
1750,5,-1.358,1.975,-0.782,0.845,NaN,NaN,NaN,NaN,NaN,NaN
1750,6,0.038,1.946,-0.756,0.86,NaN,NaN,NaN,NaN,NaN,NaN
1750,7,0.398,1.77,-0.744,0.859,NaN,NaN,NaN,NaN,NaN,NaN
1750,8,0.622,1.654,-0.883,0.848,NaN,NaN,NaN,NaN,NaN,NaN
1750,9,-0.52,2.189,-0.924,0.829,NaN,NaN,NaN,NaN,NaN,NaN
1750,10,-1.476,1.863,-1.033,0.819,NaN,NaN,NaN,NaN,NaN,NaN
1750,11,-3.194,1.856,-1.021,0.803,NaN,NaN,NaN,NaN,NaN,NaN
1750,12,-2.451,1.987,-1.053,0.805,NaN,NaN,NaN,NaN,NaN,NaN
1751,1,-1.63,2.018,-1.019,0.788,NaN,NaN,NaN,NaN,NaN,NaN
1751,2,-2.472,2.102,-1.022,0.789,NaN,NaN,NaN,NaN,NaN,NaN
1751,3,0.704,1.893,-1.065,0.784,NaN,NaN,NaN,NaN,NaN,NaN
1751,4,-1.054,1.843,-1.129,0.785,NaN,NaN,NaN,NaN,NaN,NaN
1751,5,-1.216,2.003,-1.115,0.793,NaN,NaN,NaN,NaN,NaN,NaN
1751,6,-0.346,1.953,-1.084,0.804,NaN,NaN,NaN,NaN,NaN,NaN
1751,7,0.807,1.759,-1.144,0.805,NaN,NaN,NaN,NaN,NaN,NaN
1751,8,0.587,1.639,-0.777,0.806,NaN,NaN,NaN,NaN,NaN,NaN
1751,9,-1.045,1.82,-0.804,0.812,NaN,NaN,NaN,NaN,NaN,NaN
1751,10,-2.244,1.888,-0.812,0.804,NaN,NaN,NaN,NaN,NaN,NaN
1751,11,-3.015,1.889,-0.758,0.795,NaN,NaN,NaN,NaN,NaN,NaN
1751,12,-2.081,2.102,-0.618,0.783,NaN,NaN,NaN,NaN,NaN,NaN
1752,1,-2.349,1.991,-0.66,0.789,NaN,NaN,NaN,NaN,NaN,NaN
1752,2,1.924,2.103,-0.79,0.793,NaN,NaN,NaN,NaN,NaN,NaN
1752,3,0.391,1.857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,4,-1.155,1.819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,5,-0.573,1.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,6,1.341,1.868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,7,0.305,1.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,8,-0.977,1.743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,10,-1.194,1.853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,11,-0.074,1.876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,12,-0.977,2.033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1753,1,-2.312,2.142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1753,2,-1.043,2.453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1753,3,1.12,1.964,-0.339,0.809,NaN,NaN,NaN,NaN,NaN,NaN
1753,4,-0.463,1.846,-0.28,0.808,NaN,NaN,NaN,NaN,NaN,NaN
1753,5,0.013,1.856,-0.384,0.808,NaN,NaN,NaN,NaN,NaN,NaN
1753,6,1.865,1.883,-0.419,0.87,NaN,NaN,NaN,NaN,NaN,NaN
1753,7,0.489,1.678,-0.344,0.961,NaN,NaN,NaN,NaN,NaN,NaN
1753,8,-0.778,1.789,-0.506,0.955,NaN,NaN,NaN,NaN,NaN,NaN
1753,9,-0.707,1.701,-0.773,0.913,NaN,NaN,NaN,NaN,NaN,NaN
1753,10,-0.496,1.775,-0.588,0.923,NaN,NaN,NaN,NaN,NaN,NaN
1753,11,-1.319,1.834,-0.551,0.929,NaN,NaN,NaN,NaN,NaN,NaN
1753,12,-1.401,3.549,-0.63,0.924,NaN,NaN,NaN,NaN,NaN,NaN
1754,1,-1.405,2.298,-0.686,0.91,NaN,NaN,NaN,NaN,NaN,NaN
1754,2,-2.989,2.425,-0.619,0.979,NaN,NaN,NaN,NaN,NaN,NaN
1754,3,-2.085,1.678,-0.641,1.026,NaN,NaN,NaN,NaN,NaN,NaN
1754,4,1.753,1.896,-0.544,1.034,NaN,NaN,NaN,NaN,NaN,NaN
1754,5,0.466,1.9,-0.371,1.048,NaN,NaN,NaN,NaN,NaN,NaN
1754,6,0.908,1.847,-0.267,0.918,NaN,NaN,NaN,NaN,NaN,NaN
1754,7,-0.175,1.655,-0.419,0.847,NaN,NaN,NaN,NaN,NaN,NaN
1754,8,0.02,1.681,-0.377,0.815,NaN,NaN,NaN,NaN,NaN,NaN
1754,9,-0.975,1.958,-0.269,0.814,NaN,NaN,NaN,NaN,NaN,NaN
1754,10,0.673,1.872,-0.216,0.877,NaN,NaN,NaN,NaN,NaN,NaN
1754,11,0.754,2.287,-0.267,0.847,NaN,NaN,NaN,NaN,NaN,NaN
1754,12,-0.149,1.978,-0.169,0.859,NaN,NaN,NaN,NaN,NaN,NaN
1755,1,-3.232,1.899,-0.179,0.91,NaN,NaN,NaN,NaN,NaN,NaN
1755,2,-2.481,1.956,-0.294,0.903,NaN,NaN,NaN,NaN,NaN,NaN
1755,3,-0.796,1.822,-0.312,0.892,-0.31,0.561,NaN,NaN,NaN,NaN
1755,4,2.397,2.052,-0.334,0.857,-0.345,0.549,NaN,NaN,NaN,NaN
1755,5,-0.146,1.896,-0.467,0.897,-0.375,0.56,NaN,NaN,NaN,NaN
1755,6,2.086,2.076,-0.567,0.863,-0.399,0.56,NaN,NaN,NaN,NaN
1755,7,-0.294,2.301,-0.272,0.914,-0.431,0.556,NaN,NaN,NaN,NaN
1755,8,-1.37,1.698,0.106,0.877,-0.439,0.55,NaN,NaN,NaN,NaN
1755,9,-1.188,1.762,0.154,0.838,-0.464,0.548,NaN,NaN,NaN,NaN
1755,10,0.414,1.703,-0.031,0.834,-0.474,0.553,NaN,NaN,NaN,NaN
1755,11,-0.847,2.232,0.028,0.818,-0.5,0.559,NaN,NaN,NaN,NaN
1755,12,-1.343,1.88,-0.049,0.834,-0.527,0.564,NaN,NaN,NaN,NaN
1756,1,0.299,2.191,-0.089,0.834,-0.569,0.556,NaN,NaN,NaN,NaN
1756,2,2.063,3.598,-0.027,0.794,-0.591,0.564,NaN,NaN,NaN,NaN
1756,3,-0.229,2.724,0.063,0.802,-0.617,0.562,NaN,NaN,NaN,NaN
1756,4,0.184,2.338,-0.117,0.814,-0.656,0.555,NaN,NaN,NaN,NaN
1756,5,0.563,3.456,-0.249,0.799,-0.639,0.539,NaN,NaN,NaN,NaN
1756,6,1.156,2.059,-0.359,0.792,-0.628,0.532,NaN,NaN,NaN,NaN
1756,7,-0.768,5.898,-0.673,0.774,-0.589,0.532,NaN,NaN,NaN,NaN
