,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,DZ,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IL,IT,LB,LT,LV,LY,MA,ME,MK,MT,NL,NO,PL,PS,PT,RO,RS,SE,SI,SK,SY,TN,TR
2000,402,0,0,0,0,0,0,0,0,0,0,0,107101,0,14248,0,0,105292,0,0,0,0,43439,0,0,0,0,0,0,0,0,0,0,0,0,103143,0,0,0,0,0,0,0,225
2001,0,0,0,0,0,0,0,0,0,0,0,0,41000,0,11199,0,0,9319,0,0,0,0,16553,0,0,0,0,0,0,0,0,0,0,0,0,74846,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,54254,0,4142,0,0,2239,0,0,0,0,4682,0,0,0,0,0,0,0,0,0,0,0,0,85723,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,64822,0,42725,0,0,157,0,0,0,0,18659,0,0,0,0,0,0,0,0,0,0,0,0,292900,0,0,0,351,0,0,0,0
2004,0,0,0,0,0,0,356,0,0,0,0,0,90166,0,9225,0,0,2526,0,0,0,0,13957,0,0,0,0,0,0,0,0,0,0,0,0,131047,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,112153,0,8843,0,0,4515,0,0,0,0,20163,0,0,0,0,0,0,0,0,0,0,0,0,275480,0,0,0,0,0,0,0,0
2006,0,0,0,0,1596,0,291,0,0,0,0,0,118527,0,1751,0,0,16355,2708,0,0,0,9242,0,0,0,0,0,0,0,0,0,0,0,0,56450,0,0,0,557,0,0,0,8475
2007,127918,0,56706,0,67598,0,2526,0,0,0,0,0,56589,0,2631,0,0,271539,17189,799,0,0,153755,0,0,0,0,0,18849,40679,0,0,0,0,0,15762,0,19179,0,0,0,0,0,6861
2008,19255,0,6964,0,5730,0,1947,0,0,0,0,0,10073,0,1694,0,0,24571,3216,0,0,0,24447,0,0,65,0,0,5772,14461,0,0,2751,0,0,5350,0,359,1668,0,0,0,0,27848
2009,7605,0,181,0,1564,0,0,0,0,0,141925,0,88893,0,7973,0,0,42757,2208,0,0,46,54941,0,0,0,0,2111,103,901,0,0,0,0,0,75267,0,0,741,0,0,5278,129,5798
2010,8155,0,3349,0,28,0,1123,0,0,0,70395,0,19913,0,4677,0,0,6496,330,0,0,3013,34377,0,0,0,0,2827,2088,1692,0,0,0,0,0,127892,0,0,0,0,0,0,3551,1278
2011,54778,0,23414,2180,11592,74,939,0,0,0,52335,0,60396,0,4831,17197,0,35400,15392,0,16675,0,37445,0,0,0,0,4668,17765,20465,0,148,641,0,0,64845,333,1058,143,0,0,0,3690,8985
2012,53782,0,87699,0,16700,0,2349,0,0,0,201212,0,189747,0,3355,0,0,52315,33070,960,0,0,83079,0,0,0,0,11173,37019,27702,0,0,0,0,0,101284,3097,10650,0,262,0,12966,3022,9689
2013,1233,0,3459,0,2992,0,2857,0,133,0,16856,0,37266,0,914,5445,0,19817,1017,138,8208,2852,15833,182,0,0,5924,2806,1623,7813,0,0,218,0,0,154165,3101,1424,50,0,0,10540,13232,19995
2014,457,0,3203,0,0,0,436,0,0,0,63481,0,22056,0,4667,85,0,14815,304,0,141,0,13248,0,0,0,0,999,0,0,0,396,3336,54,0,11574,2403,0,13633,0,0,2082,11557,7189
2015,3768,0,15031,109,3287,0,197,0,105,0,37070,0,63636,0,2097,2127,0,10827,7866,1610,6807,3837,7822,141,0,0,0,565,13533,4721,0,22,142,560,1533,47468,7320,1011,147,0,0,93289,6186,55070
2016,5038,0,34482,54,11483,0,2738,0,314,0,25288,0,52730,0,10793,1197,0,31760,9111,0,1177,758,35292,0,0,0,0,3864,8195,3908,0,0,0,0,74,166070,4368,772,99,321,0,1706,4538,125801
2017,42164,0,83138,0,5214,0,652,145,57,131,89752,0,131048,233,20654,5126,854,19734,67343,458,7241,0,140392,45,0,35,234,4645,51663,24972,0,0,260,0,0,563667,30481,8169,732,188,0,5742,19067,47765
2018,3281,0,3140,166,2025,26,442,0,3699,463,1717,441,12789,411,2636,18031,0,12064,1289,96,2868,105,14648,74,0,2546,272,1133,4404,2391,32,183,352,398,0,37356,3339,5797,21602,0,0,1570,986,40670
2019,11842,38,28931,315,13828,0,625,52,2055,108,48509,0,66409,0,45231,29396,0,11107,11957,601,2898,1868,39651,2316,236,49,717,4811,11284,31709,0,21,4655,181,1290,34666,73445,17391,537,105,25,193617,3210,83131
