,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,DZ,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IL,IT,LB,LT,LV,LY,MA,ME,MK,MT,NL,NO,PL,PS,PT,RO,RS,SE,SI,SK,SY,TN,TR
2000,1,0,0,0,0,0,0,0,0,0,0,0,240,0,31,0,0,64,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,1
2001,0,0,0,0,0,0,0,0,0,0,0,0,278,0,69,0,0,54,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,268,0,25,0,0,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,174,0,48,0,0,2,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,1,0,0,0,0
2004,0,0,0,0,0,0,3,0,0,0,0,0,222,0,24,0,0,15,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,215,0,20,0,0,15,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0
2006,0,0,0,0,1,0,1,0,0,0,0,0,224,0,12,0,0,25,5,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,1,0,0,0,8
2007,171,0,63,0,67,0,9,0,0,0,0,0,65,0,12,0,0,142,31,2,0,0,462,0,0,0,0,0,31,62,0,0,0,0,0,72,0,20,0,0,0,0,0,19
2008,74,0,23,0,19,0,3,0,0,0,0,0,33,0,8,0,0,46,8,0,0,0,147,0,0,1,0,0,22,37,0,0,1,0,0,33,0,3,5,0,0,0,0,11
2009,28,0,1,0,6,0,0,0,0,0,241,0,162,0,16,0,0,45,8,0,0,1,114,0,0,0,0,7,1,2,0,0,0,0,0,342,0,0,6,0,0,8,1,10
2010,37,0,9,0,1,0,7,0,0,0,240,0,80,0,10,0,0,22,1,0,0,1,164,0,0,0,0,4,14,7,0,0,0,0,0,308,0,0,0,0,0,0,4,5
2011,210,0,41,3,23,1,3,0,0,0,277,0,303,0,23,44,0,80,26,0,15,0,252,0,0,0,0,15,50,47,0,1,1,0,0,319,1,4,1,0,0,0,18,11
2012,157,0,140,0,30,0,8,0,0,0,364,0,270,0,21,0,0,83,56,2,0,0,331,0,0,0,0,14,90,66,0,0,0,0,0,239,23,40,0,1,0,32,11,33
2013,9,0,9,0,12,0,8,0,1,0,51,0,124,0,10,16,0,34,6,1,10,4,69,1,0,0,7,7,8,17,0,0,1,0,0,358,7,8,1,0,0,27,21,38
2014,4,0,5,0,0,0,2,0,0,0,147,0,62,0,26,1,0,31,2,0,1,0,78,0,0,0,0,8,0,0,0,1,6,1,0,35,8,0,12,0,0,4,31,24
2015,18,0,27,2,8,0,2,0,2,0,103,0,113,0,17,4,0,26,17,2,27,6,65,2,0,0,0,6,44,15,0,1,1,2,2,177,15,5,3,0,0,94,21,88
2016,21,0,89,1,29,0,2,0,3,0,87,0,128,0,28,9,0,54,30,0,6,3,145,0,0,0,0,19,24,7,0,0,0,0,1,322,11,5,1,3,0,9,18,269
2017,223,0,146,0,17,0,4,1,1,2,283,0,322,4,92,19,1,56,104,3,18,0,788,1,0,1,3,25,124,87,0,0,2,0,0,414,65,37,8,2,0,18,51,158
2018,14,0,12,5,15,1,7,0,36,4,21,9,104,11,23,79,0,34,7,2,29,2,147,2,0,8,4,17,23,18,1,3,10,5,0,86,42,46,74,0,0,22,6,271
2019,111,1,144,4,90,0,6,2,14,2,164,0,424,0,370,137,0,70,75,10,23,12,448,21,4,1,8,26,86,158,0,1,35,6,6,222,242,114,10,2,1,303,26,396
