,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Spain,0.35,0.00,0.00,0.00,0.00,0.00,0.04,0.17,0.13,0.01,0.00,0.00,0.00
Cataluña/Catalunya,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00
"Castilla-La Mancha",0.28,0.00,0.00,0.00,0.00,0.00,0.03,0.16,0.09,0.01,0.00,0.00,0.00
"La Rioja",0.03,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00
"Castilla y León",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"País Vasco/Euskadi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cantabria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Comunidad Foral de Navarra",0.06,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.01,0.00,0.00,0.00,0.00
Canarias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Región de Murcia",0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.04,0.01,0.00,0.00,0.00
"Ciudad Autónoma de Melilla",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Illes Balears",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Comunidad de Madrid",0.19,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.06,0.00,0.00,0.00,0.00
"Principado de Asturias",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aragón,0.23,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.07,0.00,0.00,0.00,0.00
Galicia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andalucía,1.00,0.00,0.00,0.00,0.00,0.00,0.10,0.48,0.38,0.04,0.00,0.00,0.00
Extremadura,1.16,0.00,0.00,0.00,0.00,0.00,0.11,0.55,0.44,0.05,0.00,0.00,0.00
"Comunitat Valenciana",0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.00,0.00,0.00
"Ciudad Autónoma de Ceuta",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
