,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Spain,38.56,19.01,21.76,25.82,28.29,33.36,37.34,38.08,37.83,36.35,30.24,23.61,18.95
Cataluña/Catalunya,36.36,18.88,21.30,24.52,27.11,30.80,36.04,34.73,35.17,32.68,28.72,23.33,18.37
"Castilla-La Mancha",40.27,19.33,21.61,26.69,28.89,35.48,39.17,40.23,39.51,38.56,30.90,23.83,19.04
"La Rioja",37.54,16.79,20.51,23.60,26.27,30.58,37.47,36.58,35.86,33.29,28.23,21.86,17.13
"Castilla y León",37.07,16.79,19.99,23.55,26.74,31.33,36.77,36.42,36.42,34.99,28.73,21.03,16.29
"País Vasco/Euskadi",34.96,17.90,21.57,23.04,25.96,30.27,34.46,34.27,34.80,32.28,28.41,22.61,19.24
Cantabria,32.80,18.80,21.11,22.09,25.40,28.72,32.35,32.60,32.17,30.03,28.29,22.59,17.68
"Comunidad Foral de Navarra",38.43,17.07,21.88,24.20,28.23,32.08,38.20,37.25,37.44,34.06,29.25,22.01,18.04
Canarias,29.77,22.06,23.14,24.60,26.82,26.18,26.58,28.36,28.65,28.44,28.75,26.30,22.73
"Región de Murcia",39.96,21.84,24.75,29.33,30.11,36.11,37.20,39.73,39.09,38.22,31.08,27.06,21.91
"Ciudad Autónoma de Melilla",34.71,22.20,27.61,23.65,26.36,30.07,30.53,34.71,34.53,30.90,28.58,30.50,24.38
"Illes Balears",34.07,19.58,20.05,24.68,23.54,28.91,31.82,33.20,34.05,31.09,28.56,24.61,19.98
"Comunidad de Madrid",39.60,18.55,20.75,25.71,28.23,34.18,39.23,39.52,39.31,38.21,30.43,22.57,17.35
"Principado de Asturias",30.47,17.47,20.12,22.03,25.08,27.01,30.01,29.86,30.18,29.35,26.80,21.72,17.28
Aragón,38.93,18.20,22.30,26.17,28.72,33.33,38.69,38.26,37.64,35.28,29.68,23.24,18.39
Galicia,33.51,18.21,20.62,23.46,26.62,29.15,31.91,33.23,33.15,32.06,28.56,21.03,17.61
Andalucía,40.77,20.57,23.06,27.87,29.48,35.62,38.18,40.65,39.91,38.97,31.79,26.00,21.64
Extremadura,42.44,20.09,22.74,27.24,30.61,36.14,40.40,42.05,42.20,40.77,33.08,24.51,19.85
"Comunitat Valenciana",39.11,22.64,23.91,28.94,29.77,35.58,37.06,38.43,38.77,36.98,31.66,27.69,21.53
"Ciudad Autónoma de Ceuta",33.30,18.82,20.17,22.15,25.12,28.80,29.72,33.30,32.80,29.70,26.70,23.19,20.24
