,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Spain,653.53,62.04,51.93,60.69,68.45,61.81,36.58,21.45,27.05,46.69,74.99,73.64,68.20
Cataluña/Catalunya,766.52,51.02,40.59,55.88,78.36,80.83,62.71,51.66,62.99,82.16,85.16,66.05,49.13
"Castilla-La Mancha",504.46,44.90,41.10,50.56,59.35,52.73,26.21,9.92,15.94,34.43,59.12,56.43,53.78
"La Rioja",755.76,63.70,55.35,62.66,83.37,87.18,68.13,43.72,41.37,50.86,66.87,74.31,58.24
"Castilla y León",659.87,64.68,50.80,59.04,69.88,67.24,40.86,24.22,24.22,40.41,77.21,73.46,67.87
"País Vasco/Euskadi",1077.50,106.37,95.81,94.36,101.91,91.11,72.87,57.89,57.95,68.55,98.14,128.74,103.79
Cantabria,1161.66,106.22,96.48,99.71,107.63,102.66,88.36,72.62,72.33,81.62,105.07,127.82,101.14
"Comunidad Foral de Navarra",882.83,79.38,68.91,74.59,91.95,84.69,64.63,44.58,53.93,62.12,85.60,95.40,77.05
Canarias,169.38,19.71,21.01,18.49,11.94,6.98,4.42,3.52,3.44,8.03,20.19,20.86,30.79
"Región de Murcia",356.32,31.26,28.77,38.76,37.43,32.16,16.18,5.28,14.80,43.02,37.88,38.02,32.76
"Ciudad Autónoma de Melilla",365.95,44.46,42.06,46.93,35.66,23.26,7.70,2.08,6.85,24.66,41.84,52.07,38.40
"Illes Balears",447.40,45.49,38.07,29.75,36.09,29.57,15.19,5.06,16.48,49.51,61.32,69.45,51.42
"Comunidad de Madrid",524.66,49.33,41.79,50.39,60.26,55.29,26.13,11.35,14.24,29.88,67.94,63.48,54.56
"Principado de Asturias",1278.10,122.38,103.71,109.51,119.25,115.71,88.56,68.50,75.90,84.33,122.02,143.63,124.61
Aragón,621.76,46.69,38.07,51.04,69.62,69.18,51.32,32.96,42.70,53.00,63.56,59.52,44.08
Galicia,1266.41,147.31,106.53,114.75,118.18,101.41,61.63,37.74,47.49,74.84,147.17,157.34,152.01
Andalucía,523.84,55.62,51.40,59.07,55.03,41.26,14.63,3.69,8.27,33.31,62.93,66.13,72.51
Extremadura,582.88,62.04,52.34,58.64,59.98,49.41,16.27,5.02,8.37,34.95,84.71,74.95,76.21
"Comunitat Valenciana",482.95,38.69,32.61,43.78,51.86,46.21,27.82,14.48,28.37,57.96,54.96,46.95,39.25
"Ciudad Autónoma de Ceuta",575.10,76.01,70.06,68.58,48.01,30.82,7.60,1.94,6.25,32.84,70.92,79.82,82.25
