,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Spain,19.14,10.43,11.97,15.08,17.12,21.07,25.94,29.32,29.21,24.82,19.72,13.95,11.05
Cataluña/Catalunya,18.14,9.88,11.26,14.38,16.49,20.27,24.55,27.32,27.25,23.29,19.06,13.60,10.34
"Castilla-La Mancha",20.01,10.00,11.86,15.39,17.75,22.26,28.11,32.26,31.77,26.20,20.19,13.72,10.56
"La Rioja",16.24,7.83,9.09,12.39,14.41,18.21,22.56,25.58,25.97,21.88,17.26,11.29,8.50
"Castilla y León",16.90,7.75,9.56,12.93,14.90,18.95,24.04,27.50,27.40,22.95,17.27,11.22,8.38
"País Vasco/Euskadi",16.35,9.82,10.63,13.11,14.58,17.67,20.80,22.98,23.83,21.35,17.98,13.00,10.45
Cantabria,15.42,9.34,10.05,12.37,13.66,16.57,19.55,21.60,22.31,20.16,16.99,12.39,10.11
"Comunidad Foral de Navarra",17.27,8.85,10.16,13.54,15.60,19.47,23.66,26.36,26.73,22.87,18.28,12.35,9.35
Canarias,20.11,17.64,17.45,17.85,18.29,19.33,20.86,22.27,23.16,23.00,22.20,20.46,18.82
"Región de Murcia",21.70,13.75,14.92,17.45,19.79,23.44,28.04,31.16,31.11,26.80,22.43,17.20,14.28
"Ciudad Autónoma de Melilla",20.75,15.79,15.93,17.04,18.50,20.88,23.83,26.45,27.23,25.10,22.39,19.05,16.80
"Illes Balears",20.24,14.14,13.99,15.55,17.47,20.67,24.61,27.50,28.17,25.39,22.14,17.92,15.25
"Comunidad de Madrid",19.40,9.15,11.29,14.97,17.25,21.71,27.66,31.71,31.23,25.87,19.38,12.94,9.70
"Principado de Asturias",14.81,9.02,9.76,11.97,13.11,15.85,18.80,20.76,21.37,19.31,16.16,11.76,9.82
Aragón,18.61,9.22,10.87,14.49,16.83,21.14,26.16,29.51,29.19,24.29,19.12,12.85,9.66
Galicia,16.34,10.27,11.28,13.56,14.74,17.45,20.58,22.77,23.21,21.05,17.27,12.92,10.98
Andalucía,21.74,13.18,14.56,17.37,19.44,23.46,28.41,32.07,31.96,27.34,22.38,16.77,13.93
Extremadura,21.52,11.88,13.87,17.23,19.30,23.61,29.08,32.87,32.63,27.79,21.81,15.66,12.49
"Comunitat Valenciana",20.86,13.14,14.24,16.85,18.99,22.50,26.94,29.92,29.86,25.95,21.81,16.56,13.62
"Ciudad Autónoma de Ceuta",19.33,14.79,14.90,15.99,17.28,19.56,22.36,24.83,25.25,23.22,20.55,17.53,15.66
