,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Spain,9.26,2.71,3.14,5.27,7.15,10.55,14.44,16.92,16.98,13.93,10.43,6.05,3.60
Cataluña/Catalunya,8.54,1.17,1.72,4.21,6.44,10.32,14.41,17.00,17.01,13.45,9.88,4.87,1.94
"Castilla-La Mancha",8.96,1.52,2.20,4.56,6.69,10.49,15.02,17.95,17.78,14.00,9.86,5.06,2.37
"La Rioja",6.58,0.95,0.85,2.87,4.55,7.85,11.23,13.27,13.48,10.66,7.74,3.90,1.66
"Castilla y León",6.92,0.96,1.09,3.12,4.84,8.15,11.91,14.14,14.11,11.20,7.95,3.88,1.70
"País Vasco/Euskadi",9.23,4.25,4.10,5.78,7.20,10.09,12.94,14.92,15.38,13.24,10.77,7.18,4.95
Cantabria,8.71,3.90,3.69,5.29,6.62,9.43,12.28,14.23,14.64,12.62,10.28,6.78,4.69
"Comunidad Foral de Navarra",8.01,1.98,2.06,4.28,6.09,9.51,12.88,14.89,15.14,12.25,9.29,5.12,2.68
Canarias,18.03,15.76,15.46,15.70,16.16,17.17,18.63,19.90,20.84,20.95,20.25,18.59,17.02
"Región de Murcia",11.76,4.60,5.41,7.33,9.56,12.98,17.05,19.82,20.17,17.03,13.11,8.40,5.60
"Ciudad Autónoma de Melilla",16.54,11.12,11.58,12.79,14.28,16.74,19.71,22.21,23.21,21.34,18.48,14.79,12.29
"Illes Balears",15.93,10.17,9.80,11.09,12.98,16.09,19.91,22.85,23.59,21.15,18.05,14.02,11.44
"Comunidad de Madrid",8.54,1.13,1.73,4.16,6.34,10.14,14.72,17.53,17.26,13.52,9.36,4.66,1.98
"Principado de Asturias",7.74,3.14,2.86,4.43,5.66,8.39,11.31,13.20,13.44,11.55,9.16,5.80,3.94
Aragón,7.72,0.83,1.14,3.53,5.63,9.47,13.59,16.03,15.95,12.30,8.67,4.06,1.48
Galicia,8.99,4.65,4.52,6.03,7.11,9.49,12.19,13.94,14.22,12.69,10.37,7.22,5.46
Andalucía,11.74,4.78,5.55,7.67,9.61,12.92,16.86,19.50,19.71,16.73,13.05,8.47,6.00
Extremadura,10.92,3.91,4.70,7.06,8.90,12.26,16.22,18.68,18.74,15.89,12.15,7.56,4.98
"Comunitat Valenciana",11.19,4.31,4.81,6.81,8.94,12.35,16.40,19.19,19.46,16.31,12.57,7.96,5.20
"Ciudad Autónoma de Ceuta",15.90,11.82,11.88,12.81,13.82,15.76,18.22,20.32,21.08,19.74,17.64,14.74,12.99
