,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Spain,14.11,6.27,7.32,10.07,12.17,15.90,20.33,23.24,23.13,19.27,14.86,9.75,7.01
Cataluña/Catalunya,13.20,5.13,6.22,9.16,11.49,15.35,19.57,22.21,22.10,18.24,14.25,8.93,5.72
"Castilla-La Mancha",14.44,5.41,6.79,9.89,12.32,16.54,21.83,25.43,24.97,20.10,14.81,9.12,6.11
"La Rioja",11.27,4.17,4.79,7.50,9.49,13.08,16.91,19.33,19.52,16.04,12.20,7.36,4.82
"Castilla y León",11.82,4.09,5.09,7.92,9.91,13.64,18.10,20.93,20.77,16.94,12.38,7.34,4.79
"País Vasco/Euskadi",12.66,6.89,7.23,9.35,10.87,13.88,16.81,18.81,19.39,17.09,14.14,9.93,7.54
Cantabria,11.97,6.50,6.76,8.76,10.13,13.00,15.88,17.85,18.35,16.24,13.46,9.44,7.26
"Comunidad Foral de Navarra",12.47,5.21,5.93,8.77,10.83,14.51,18.21,20.45,20.68,17.31,13.49,8.52,5.79
Canarias,18.99,16.61,16.36,16.69,17.15,18.19,19.67,20.99,21.89,21.88,21.14,19.44,17.84
"Región de Murcia",16.58,8.78,9.90,12.26,14.66,18.27,22.64,25.52,25.59,21.77,17.53,12.50,9.54
"Ciudad Autónoma de Melilla",18.65,13.40,13.74,14.94,16.44,18.88,21.86,24.42,25.27,23.22,20.36,16.84,14.47
"Illes Balears",18.09,12.13,11.89,13.35,15.27,18.43,22.33,25.22,25.89,23.26,20.06,15.93,13.30
"Comunidad de Madrid",13.98,4.80,6.27,9.51,11.94,16.14,21.51,25.02,24.54,19.76,14.21,8.56,5.50
"Principado de Asturias",11.20,5.94,6.19,8.16,9.40,12.15,15.08,16.97,17.35,15.33,12.49,8.65,6.73
Aragón,13.02,4.68,5.73,8.86,11.25,15.36,19.94,22.81,22.50,18.13,13.62,8.15,5.21
Galicia,12.54,7.33,7.75,9.67,10.87,13.44,16.35,18.26,18.53,16.61,13.62,9.94,8.08
Andalucía,16.68,8.65,9.86,12.45,14.59,18.32,22.83,25.98,25.94,21.99,17.53,12.36,9.64
Extremadura,16.17,7.57,9.03,12.06,14.16,18.08,22.89,26.07,25.87,21.79,16.74,11.34,8.41
"Comunitat Valenciana",15.85,8.33,9.23,11.66,13.90,17.44,21.72,24.54,24.55,20.94,16.91,11.93,9.00
"Ciudad Autónoma de Ceuta",17.55,13.24,13.33,14.36,15.50,17.62,20.22,22.46,23.05,21.38,19.04,16.09,14.29
