"","COMPRAS","EDAD","ANTIGUEDAD","GENERO","INGRESOS","LONG","LAT"
"1",628.32,29,1,0,2455,-3.80835915098432,40.5285820301389
"2",548.42,59,2,0,806,-3.74073601348791,40.4651975612389
"3",365.76,31,4,1,2390,-3.69693080403376,40.373410902964
"4",518.87,45,3,0,1178,-3.76578484636266,40.4455069908174
"5",573.99,59,3,1,1911,-3.55546908206306,40.4671601801412
"6",588.45,49,5,0,2586,-3.69363876115531,40.5581142144976
"7",352.84,35,3,0,476,-3.82402193357702,40.39513763336
"8",451.35,29,5,1,2362,-3.74366905398201,40.5692138959887
"9",647.04,49,2,1,738,-3.79581562904641,40.5157417586772
"10",493,42,2,0,842,-3.59514548173174,40.4695927205496
"11",532.76,51,5,1,990,-3.54071292313747,40.3941256325226
"12",605.88,57,7,1,1284,-3.84413337833248,40.5755314571317
"13",479.67,47,5,1,879,-3.72702814182267,40.471175964037
"14",614.96,37,0,0,1235,-3.55033121127635,40.3959531212924
"15",364.16,4,4,1,785,-3.60497056702152,40.469557835767
"16",512.6,47,3,0,1528,-3.74845191950444,40.4371009129565
"17",606.38,65,4,0,1204,-3.76151773878373,40.5224329003133
"18",531.5,52,2,0,1114,-3.71583522469737,40.4317538533825
"19",522.33,49,7,0,862,-3.54676365023479,40.402260650578
"20",528.51,44,2,0,837,-3.82265818803571,40.3927409936907
"21",548.36,47,5,0,2689,-3.72312764634844,40.5032969895285
"22",328.45,30,1,1,2008,-3.76949426017236,40.3857086841483
"23",390.21,38,5,1,857,-3.82493020964321,40.3865418754751
"24",499.65,39,1,0,870,-3.62068006044719,40.3536095371703
"25",550.89,47,6,0,2771,-3.69069405770861,40.5884028242901
"26",564.13,57,5,0,1001,-3.58495466664899,40.3941631417722
"27",586.67,43,3,0,2790,-3.83663711182307,40.587123031891
"28",618.54,37,2,0,2820,-3.76444724083412,40.5927414596546
"29",526.93,41,2,0,2857,-3.60066282316111,40.4425972829806
"30",437.14,38,4,0,1001,-3.5815590512706,40.436146068899
"31",457.68,37,3,0,638,-3.6217754535377,40.4293344020145
"32",581.55,39,1,0,1958,-3.66266838749871,40.5983207214624
"33",640.32,52,3,1,659,-3.53631068123505,40.465045512584
"34",429.37,44,5,0,974,-3.59216605997644,40.4647058808943
"35",555.37,50,3,0,898,-3.76750621395186,40.4087505956879
"36",655.63,55,1,0,1583,-3.69744626383763,40.5837188505568
"37",540.63,40,3,0,906,-3.52144656002056,40.4092844584258
"38",570.04,28,7,0,558,-3.78650847773533,40.5300837012939
"39",388.11,33,4,1,567,-3.70731329426635,40.4163144128863
"40",508.98,44,2,1,720,-3.58417039187625,40.3375669096597
"41",473.52,79,1,0,3682,-3.79622239873279,40.5033562974306
"42",350.64,28,3,1,1980,-3.63985273810104,40.457561616716
"43",450.06,25,5,0,3731,-3.69546828090679,40.358804276376
"44",501.92,35,2,1,2283,-3.62393456636928,40.4441411569016
"45",568.31,61,2,0,1611,-3.63048582288902,40.6200658022892
"46",640.56,45,5,0,1513,-3.6507743712049,40.3429593645735
"47",461,42,3,0,784,-3.62073910909239,40.3602796848165
"48",523.85,21,2,0,478,-3.74998089447618,40.5295696359128
"49",616.7,33,3,0,790,-3.6419521874981,40.5805592005374
"50",748.07,42,2,0,4885,-3.70802337010391,40.5360756922048
"51",548.74,53,5,1,1964,-3.55182458923664,40.4590749541996
"52",621.46,40,0,1,2257,-3.84253749318887,40.576533767092
"53",383.79,20,2,1,660,-3.71872611388098,40.373957866733
"54",612.72,59,0,1,2182,-3.57394248605706,40.4045255978592
"55",482.01,74,5,0,2789,-3.75145863238722,40.4565131267766
"56",645.95,36,1,0,728,-3.69976859327871,40.5753348432947
"57",628.35,44,3,0,21364,-3.85294054108672,40.5270643916912
"58",407.25,37,3,0,712,-3.76860145581886,40.3627653050236
"59",581.68,52,1,1,780,-3.73003954938613,40.4189628132619
"60",556.66,42,2,1,4513,-3.69318355105352,40.3227721868781
"61",611.09,35,3,0,2449,-3.79276749570854,40.5450613004388
"62",580.98,38,5,1,3511,-3.75394385876134,40.5735825368203
"63",631.5,57,3,0,1143,-3.84690673064906,40.5505700589158
"64",518.89,45,2,1,783,-3.60973164401948,40.4890043804655
"65",509.13,65,1,1,1694,-3.60268424309324,40.4097544660792
"66",480.76,35,3,0,3395,-3.70208147026133,40.4530935587129
"67",438.47,25,1,0,1072,-3.66489983010106,40.3966709005646
"68",449.91,26,3,0,1180,-3.58627060297877,40.3895851962036
"69",559.94,38,1,0,3517,-3.64775325518567,40.4243110416457
"70",341.84,38,4,1,520,-3.76246308905538,40.3899283991661
"71",572.79,53,4,0,966,-3.75054375207983,40.5801580109866
"72",557.44,56,4,0,1069,-3.54479032112285,40.4448482176987
"73",620.78,58,3,1,1241,-3.88257791658398,40.5671435886063
"74",520.29,27,2,0,1442,-3.71098019180354,40.4963939019246
"75",572.67,43,2,0,12514,-3.63869472031947,40.3886453632033
"76",552.78,44,8,1,735,-3.68423793124966,40.5427097662352
"77",378.34,21,4,0,496,-3.61312104596291,40.4000793076586
"78",531.02,45,8,0,1787,-3.53379476289265,40.4685055552283
"79",448.66,37,2,0,1115,-3.71205808301456,40.4875930300215
"80",532.87,64,3,0,716,-3.65391612981912,40.4788837515982
"81",391.24,59,8,1,1021,-3.69023022903129,40.4252267459407
"82",591.69,44,2,0,2580,-3.62196643752977,40.5953961784719
"83",568.39,48,1,0,1680,-3.64559730431065,40.4884654068621
"84",565,40,3,1,4363,-3.71890571548138,40.5022309573134
"85",486.03,42,1,0,18354,-3.75137933981605,40.4015220546164
