"","garantia","edad_carnet","edad_coche","sex","edad","x","y","siniestros_ly","response","Expuesto"
"1","1",26,10,1,45,-2.67204554,42.84871171,2,0,0.821917808219178
"2","3",11,21,2,59,-2.67204554,42.84871171,1,8,0.257534246575342
"3","1",50,17,2,73,-2.67204554,42.84871171,3,1,0.849315068493151
"4","2",37,3,2,61,-2.67204554,42.84871171,1,1,0.676712328767123
"5","2",10,12,2,29,-2.65973965,42.85285054,1,5,0.717808219178082
"6","2",16,15,1,38,-2.65973965,42.85285054,3,10,0.772602739726027
"7","1",31,7,2,49,-2.65973965,42.85285054,0,0,0.975342465753425
"8","2",32,13,2,55,-2.65973965,42.85285054,3,6,0.471232876712329
"9","2",24,8,2,51,-2.65973965,42.85285054,2,2,0.63013698630137
"10","1",25,13,2,44,-2.65973965,42.85285054,1,0,0.471232876712329
"11","1",35,26,2,55,-2.65973965,42.85285054,2,3,0.884931506849315
"12","1",28,16,2,47,-2.65973965,42.85285054,2,2,0.50958904109589
"13","1",35,17,2,57,-2.65973965,42.85285054,1,0,0.0767123287671233
"14","1",36,11,2,71,-2.65973965,42.85285054,2,0,0.747945205479452
"15","3",20,11,2,39,-2.65973965,42.85285054,2,6,0.315068493150685
"16","3",42,10,2,65,-2.65973965,42.85285054,2,1,0.386301369863014
"17","1",32,11,2,58,-2.65973965,42.85285054,4,3,0.649315068493151
"18","3",18,17,2,38,-2.65712021,42.84570639,2,3,0.158904109589041
"19","2",36,7,1,57,-2.65712021,42.84570639,2,0,0.243835616438356
"20","2",18,15,1,42,-2.65712021,42.84570639,3,5,0.747945205479452
"21","2",39,16,2,61,-2.65712021,42.84570639,2,4,0.904109589041096
"22","3",17,16,2,37,-2.65712021,42.84570639,2,22,0.898630136986301
"23","1",26,14,2,44,-2.65712021,42.84570639,5,6,0.4
"24","1",37,9,2,56,-2.65712021,42.84570639,2,0,0.00821917808219178
"25","3",13,15,2,31,-2.65712021,42.84570639,1,3,0.243835616438356
"26","3",9,9,2,30,-2.66641791,42.84447471,0,6,0.83013698630137
"27","2",23,6,2,45,-2.66641791,42.84447471,1,0,0.0575342465753425
"28","3",32,12,2,50,-2.66641791,42.84447471,1,6,0.558904109589041
"29","2",30,10,2,52,-2.66354257,42.83343071,4,16,0.838356164383562
"30","1",19,11,2,39,-2.66354257,42.83343071,0,0,0.484931506849315
"31","3",18,21,2,48,-2.66354257,42.83343071,2,15,0.328767123287671
"32","2",5,5,2,35,-2.66354257,42.83343071,1,6,0.983561643835616
"33","3",9,14,2,40,-2.66354257,42.83343071,3,2,0.0958904109589041
"34","2",25,7,2,44,-2.66354257,42.83343071,2,3,0.246575342465753
"35","1",11,3,1,32,-2.66354257,42.83343071,1,0,0.0657534246575342
"36","3",5,13,2,47,-2.66354257,42.83343071,0,0,0.0849315068493151
"37","1",5,11,2,47,-2.66354257,42.83343071,5,0,0.136986301369863
"38","2",10,17,2,28,-2.66354257,42.83343071,2,5,0.405479452054795
"39","2",39,14,1,60,-2.69231505,42.83638308,0,0,0.0164383561643836
"40","2",42,11,2,61,-2.69231505,42.83638308,2,2,0.463013698630137
"41","1",38,16,2,71,-2.69231505,42.83638308,5,7,0.832876712328767
"42","2",20,18,2,39,-2.69231505,42.83638308,3,9,0.465753424657534
"43","3",25,9,1,46,-2.69231505,42.83638308,2,5,0.882191780821918
"44","2",34,6,2,53,-2.69231505,42.83638308,1,0,0.213698630136986
"45","2",52,0,2,72,-2.69231505,42.83638308,0,0,0.23013698630137
"46","3",7,13,2,40,-2.69231505,42.83638308,1,11,0.715068493150685
"47","3",45,22,2,63,-2.69231505,42.83638308,1,6,0.580821917808219
"48","2",33,11,2,52,-2.69231505,42.83638308,2,2,0.323287671232877
"49","1",15,7,2,38,-2.68499325,42.84710058,2,0,0.213698630136986
"50","3",45,7,2,63,-2.68499325,42.84710058,4,7,0.813698630136986
"51","1",35,7,2,67,-2.68499325,42.84710058,5,7,0.906849315068493
"52","1",44,14,2,65,-2.68499325,42.84710058,2,0,0.315068493150685
"53","3",25,12,1,44,-2.68499325,42.84710058,3,11,0.865753424657534
"54","1",7,15,1,43,-2.68499325,42.84710058,2,0,0.334246575342466
"55","3",22,12,1,56,-2.68499325,42.84710058,1,3,0.865753424657534
"56","2",10,10,2,54,-2.68499325,42.84710058,3,9,0.487671232876712
"57","1",17,20,1,40,-2.68499325,42.84710058,4,4,0.676712328767123
"58","1",42,10,2,60,-2.68499325,42.84710058,0,0,0.495890410958904
"59","2",31,12,2,54,-2.68591444,42.85425037,4,25,0.868493150684932
"60","1",49,7,2,67,-2.68591444,42.85425037,3,0,0.0410958904109589
"61","1",36,25,2,61,-2.68591444,42.85425037,1,0,0.534246575342466
"62","3",24,13,1,67,-2.68591444,42.85425037,0,1,0.506849315068493
"63","1",26,17,2,58,-2.68591444,42.85425037,3,2,0.76986301369863
"64","2",46,11,2,76,-2.68591444,42.85425037,0,0,0.717808219178082
"65","1",36,4,2,61,-2.68591444,42.85425037,2,1,0.841095890410959
"66","1",28,15,2,48,-2.6985456,42.86179551,2,0,0.120547945205479
"67","2",23,11,1,41,-2.6985456,42.86179551,3,6,0.926027397260274
"68","3",18,16,2,41,-2.6985456,42.86179551,1,3,0.389041095890411
"69","2",16,9,1,41,-2.6985456,42.86179551,3,0,0.0876712328767123
"70","3",24,16,2,54,-2.6985456,42.86179551,2,3,0.208219178082192
"71","3",22,13,1,40,-2.6985456,42.86179551,0,0,0.235616438356164
"72","2",29,20,2,60,-2.6985456,42.86179551,1,1,0.394520547945205
"73","3",42,24,2,61,-2.6985456,42.86179551,3,24,0.712328767123288
"74","1",6,12,2,36,-2.6985456,42.86179551,0,0,0.487671232876712
"75","2",6,27,2,36,-2.6985456,42.86179551,3,2,0.0246575342465753
"76","2",32,15,2,50,-2.6985456,42.86179551,0,0,0.123287671232877
"77","2",20,11,2,39,-2.6985456,42.86179551,4,23,0.756164383561644
"78","2",6,13,2,36,-2.6985456,42.86179551,4,1,0.0410958904109589
"79","1",19,8,2,39,-2.6985456,42.86179551,1,0,0.495890410958904
"80","2",16,9,2,35,-2.6985456,42.86179551,3,8,0.575342465753425
"81","1",35,17,2,53,-2.6985456,42.86179551,3,0,0.578082191780822
"82","1",38,17,2,60,-2.6985456,42.86179551,2,3,0.90958904109589
"83","1",18,19,2,50,-2.6985456,42.86179551,1,1,0.131506849315068
"84","1",29,7,1,50,-2.6985456,42.86179551,1,0,0.345205479452055
"85","3",29,12,2,52,-2.6985456,42.86179551,2,10,0.797260273972603
"86","1",19,18,2,42,-2.6985456,42.86179551,1,1,0.750684931506849
"87","3",24,12,1,57,-2.6985456,42.86179551,3,7,0.438356164383562
"88","1",25,15,2,43,-2.6985456,42.86179551,0,0,0.145205479452055
"89","2",18,8,1,53,-2.6985456,42.86179551,0,0,0.073972602739726
"90","2",12,4,2,47,-2.6985456,42.86179551,4,8,0.219178082191781
"91","1",16,13,1,42,-2.6985456,42.86179551,2,2,0.789041095890411
"92","1",15,5,2,33,-2.6985456,42.86179551,1,0,0.750684931506849
"93","3",29,15,2,48,-2.6985456,42.86179551,2,6,0.405479452054795
"94","2",7,14,2,28,-2.6985456,42.86179551,1,2,0.30958904109589
"95","3",22,14,2,42,-2.6985456,42.86179551,0,4,0.512328767123288
"96","2",20,15,2,39,-2.6985456,42.86179551,2,5,0.805479452054795
"97","1",38,11,2,64,-2.67707734,42.85506392,2,2,0.810958904109589
"98","1",39,21,2,60,-2.67707734,42.85506392,1,0,0.317808219178082
"99","1",8,15,2,27,-2.67707734,42.85506392,6,5,0.0958904109589041
"100","1",8,18,2,40,-2.67707734,42.85506392,2,3,0.904109589041096
"101","1",6,15,2,33,-2.67707734,42.85506392,3,3,0.36986301369863
"102","1",38,11,2,56,-2.67707734,42.85506392,3,2,0.945205479452055
"103","2",46,21,1,75,-2.67707734,42.85506392,4,6,0.487671232876712
"104","2",6,17,2,32,-2.67707734,42.85506392,2,13,0.747945205479452
"105","1",18,11,2,36,-2.67707734,42.85506392,1,1,0.320547945205479
"106","2",51,14,2,74,-2.66290389,42.87022038,2,4,0.915068493150685
"107","1",10,17,1,31,-2.66290389,42.87022038,1,0,0.624657534246575
"108","1",7,6,2,27,-2.66290389,42.87022038,4,11,0.980821917808219
"109","3",28,14,2,46,-2.66290389,42.87022038,1,14,1
"110","2",33,17,1,71,-2.66290389,42.87022038,2,5,0.868493150684931
"111","1",37,9,2,55,-2.66290389,42.87022038,3,1,0.775342465753425
"112","1",14,11,2,34,-2.66290389,42.87022038,0,0,0.328767123287671
"113","1",34,17,1,54,-2.66290389,42.87022038,4,0,0.334246575342466
"114","2",37,10,2,59,-2.66290389,42.87022038,1,1,0.887671232876712
"115","1",14,8,1,32,-2.66290389,42.87022038,1,0,0.287671232876712
