"","Edad","Sexo","Periodo","Total","ToT","year","trimestre"
"1","Total","Ambos sexos","2002T1","11,55",11.55,2002,1
"2","De 16 a 19 años","Ambos sexos","2002T1","28,42",28.42,2002,1
"3","De 20 a 24 años","Ambos sexos","2002T1","20,42",20.42,2002,1
"4","De 25 a 29 años","Ambos sexos","2002T1","14,37",14.37,2002,1
"5","De 30 a 34 años","Ambos sexos","2002T1","11,22",11.22,2002,1
"6","De 35 a 39 años","Ambos sexos","2002T1","9,82",9.82,2002,1
"7","De 40 a 44 años","Ambos sexos","2002T1","8,85",8.85,2002,1
"8","De 45 a 49 años","Ambos sexos","2002T1","7,68",7.68,2002,1
"9","De 50 a 54 años","Ambos sexos","2002T1","7,69",7.69,2002,1
"10","De 55 a 59 años","Ambos sexos","2002T1","7,58",7.58,2002,1
"11","De 60 a 64 años","Ambos sexos","2002T1","6,77",6.77,2002,1
"12","De 65 a 69 años","Ambos sexos","2002T1","2,07",2.07,2002,1
"13","70 y más años","Ambos sexos","2002T1","2,44",2.44,2002,1
"14","Total","Ambos sexos","2002T2","11,15",11.15,2002,2
"15","De 16 a 19 años","Ambos sexos","2002T2","29,48",29.48,2002,2
"16","De 20 a 24 años","Ambos sexos","2002T2","19,49",19.49,2002,2
"17","De 25 a 29 años","Ambos sexos","2002T2","13,87",13.87,2002,2
"18","De 30 a 34 años","Ambos sexos","2002T2","10,43",10.43,2002,2
"19","De 35 a 39 años","Ambos sexos","2002T2","9,58",9.58,2002,2
"20","De 40 a 44 años","Ambos sexos","2002T2","8,21",8.21,2002,2
"21","De 45 a 49 años","Ambos sexos","2002T2","7,78",7.78,2002,2
"22","De 50 a 54 años","Ambos sexos","2002T2","7,93",7.93,2002,2
"23","De 55 a 59 años","Ambos sexos","2002T2","7,34",7.34,2002,2
"24","De 60 a 64 años","Ambos sexos","2002T2","6,53",6.53,2002,2
"25","De 65 a 69 años","Ambos sexos","2002T2","2,11",2.11,2002,2
